%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101582.267,303.657,1.165,0.000,-0.000,-0.288,-2.486,-1.449,1.284,1.673,-0.216,-2.179,-1.815,-2.354,-0.223,-0.208,1.585,-2.230,2.513,1.047,0.000,-0.338,-7.001,0.104,-0.472,0.002,535.448,336.520
101578.235,303.653,1.165,0.000,-0.158,-0.128,-1.945,-2.006,0.856,1.986,0.433,-1.972,-2.349,-2.140,-1.451,-0.729,1.268,-2.973,1.885,0.523,0.519,-0.788,-7.032,0.104,-0.483,0.002,535.448,336.520
101578.235,303.655,1.165,0.000,-0.158,0.192,-2.054,-0.557,1.070,2.718,1.190,-0.519,-1.281,-1.498,-0.335,-1.250,1.796,-2.973,1.466,-0.104,-0.207,-0.113,-7.032,0.085,-0.483,0.001,535.448,336.520
101574.204,303.655,1.165,0.000,-0.158,-0.128,-3.459,-1.226,0.856,1.464,1.082,-1.141,-0.641,-1.177,-0.335,0.313,0.951,-2.336,1.675,0.314,0.104,-0.113,-7.011,0.066,-0.493,0.001,535.448,336.520
101582.267,303.658,1.165,0.000,-0.000,0.032,-2.162,-2.563,-0.107,1.777,0.108,-1.349,-0.641,-0.749,-0.335,-0.104,2.430,-2.548,1.990,0.314,-0.104,-0.788,-7.011,0.104,-0.462,0.001,535.448,336.520
101582.267,303.655,1.165,0.368,0.079,0.352,-3.026,-2.452,-0.534,0.941,-0.432,-3.009,-1.388,-1.926,0.224,0.000,2.113,-1.274,2.408,1.361,0.415,-0.788,-7.022,0.085,-0.483,0.002,535.448,336.520
101586.298,303.657,1.165,0.000,-0.000,0.032,-1.621,-1.115,1.070,1.150,-0.324,-2.075,-2.776,-1.926,-0.223,-0.104,1.479,-2.018,2.827,0.314,0.831,0.226,-7.001,0.104,-0.462,0.002,535.448,336.520
101582.267,303.660,1.165,0.737,0.316,0.032,-2.162,-1.226,1.284,1.986,0.324,-1.868,-1.175,-3.210,-0.335,-0.313,1.690,-2.761,2.618,1.047,0.831,0.226,-7.001,0.085,-0.472,0.002,535.448,336.520
101578.235,303.658,1.165,0.521,0.158,0.032,-1.729,-0.892,1.392,2.509,1.406,-1.453,-1.281,-1.284,-1.228,-0.834,1.373,-3.716,1.780,-0.209,0.000,-1.238,-6.959,0.066,-0.472,0.001,535.448,336.520
101578.235,303.658,1.165,0.000,-0.000,-0.288,-3.026,-0.446,0.107,2.300,0.649,-1.141,-0.854,-1.391,0.559,-1.146,2.007,-2.761,1.780,0.105,-0.311,-0.563,-7.001,0.104,-0.472,0.002,535.448,336.520
