%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101449.229,302.802,1.167,0.552,0.178,-0.008,-1.729,-1.003,1.606,1.986,1.298,-2.179,-1.281,-1.391,-0.335,-0.313,1.690,-1.380,2.094,0.419,0.519,-1.576,-7.960,-0.009,-0.294,-0.001,535.448,336.520
101457.292,302.800,1.167,0.000,-0.059,0.312,-2.053,-0.892,0.856,1.882,0.541,-1.038,-1.602,-1.498,-0.446,-0.625,2.007,-2.336,2.408,-0.209,0.104,-0.788,-7.949,0.029,-0.274,-0.001,535.448,336.520
101449.229,302.799,1.167,0.663,0.257,0.312,-2.594,-1.672,1.606,1.673,0.865,-1.245,-0.961,-2.033,0.000,-0.208,1.373,-1.911,2.408,0.837,-0.207,-0.450,-7.949,-0.009,-0.294,0.000,535.448,336.520
101441.166,302.802,1.167,0.411,0.099,-0.008,-1.837,-2.118,0.749,1.464,0.649,-1.660,-1.281,-1.284,-1.228,-0.000,2.218,-2.973,2.303,0.942,0.727,-0.788,-7.960,0.010,-0.294,-0.000,535.448,336.520
101453.260,302.802,1.167,0.759,0.336,0.632,-2.486,-0.892,0.321,1.882,0.216,-1.660,-0.961,-1.712,0.112,-0.729,1.690,-2.548,1.571,0.209,0.623,-0.338,-7.970,0.010,-0.294,0.000,535.448,336.520
101453.260,302.799,1.167,0.184,0.020,0.152,-2.053,-0.780,1.820,1.255,0.757,-1.245,-1.281,-1.498,-0.223,0.209,1.479,-2.548,1.989,0.000,0.104,-0.450,-7.970,0.010,-0.304,-0.001,535.448,336.520
101441.166,302.797,1.167,0.000,-0.059,-0.008,-1.945,-1.672,1.392,2.405,0.324,-1.764,-1.175,-1.819,-0.112,-0.521,2.218,-2.973,2.303,0.209,-0.000,-0.338,-7.970,0.010,-0.304,-0.001,535.448,336.520
101445.197,302.802,1.167,0.411,0.099,0.152,-2.161,-1.115,0.856,1.568,0.541,-2.698,-1.708,-1.926,-0.558,-0.313,1.901,-2.124,1.675,0.314,-0.415,-1.125,-7.970,0.029,-0.294,-0.000,535.448,336.520
101457.292,302.799,1.167,0.000,-0.138,0.152,-2.269,-0.780,0.963,1.255,0.324,-1.557,-1.708,-1.712,0.000,-0.521,1.901,-2.548,2.199,-0.209,0.311,0.000,-7.991,0.010,-0.294,-0.001,535.448,336.520
101457.292,302.802,1.167,0.184,0.020,0.312,-2.810,-1.226,1.178,2.091,0.433,-1.868,-1.495,-2.140,-0.223,-0.000,1.796,-2.018,1.780,0.837,-0.415,-0.563,-7.960,0.010,-0.284,0.000,535.448,336.520
101465.355,302.799,1.167,0.184,0.020,0.312,-2.053,-1.672,0.963,1.777,0.757,-1.972,-1.068,-1.391,-1.228,-0.000,1.690,-2.973,1.989,0.419,0.623,-1.351,-7.970,0.010,-0.304,-0.000,535.448,336.520
101457.292,302.800,1.167,0.411,0.099,0.152,-2.053,-1.337,0.428,2.091,0.649,-1.453,-1.281,-1.712,0.336,-1.250,1.796,-2.336,2.199,0.837,-0.000,-0.563,-7.970,0.029,-0.294,-0.001,535.448,336.520
101461.323,302.802,1.167,0.000,-0.059,0.152,-2.269,-1.226,1.392,1.150,0.433,-1.453,-1.388,-2.140,-0.670,-0.104,0.951,-1.911,1.780,0.209,0.208,-0.900,-7.970,-0.009,-0.304,0.000,535.448,336.520
101457.292,302.802,1.167,0.552,0.178,0.312,-1.729,-1.560,0.856,1.987,-0.000,-1.453,-1.602,-1.712,-0.223,-0.208,2.430,-2.973,2.409,0.837,0.311,-0.225,-7.929,0.010,-0.284,0.000,535.448,336.520
101469.386,302.804,1.167,0.552,0.178,0.312,-1.945,-0.892,0.321,1.777,0.216,-1.972,-1.495,-1.391,0.224,-0.313,1.479,-2.124,1.571,0.105,0.415,-0.675,-7.960,0.010,-0.314,0.000,535.448,336.520
101461.323,302.799,1.167,0.184,0.020,0.152,-2.053,-0.892,0.642,1.359,0.757,-1.764,-2.136,-1.177,0.224,-0.313,1.796,-2.655,2.513,-0.418,-0.207,-0.788,-7.970,-0.009,-0.304,-0.000,535.448,336.520
101453.260,302.799,1.167,0.843,0.415,-0.008,-2.702,-1.783,0.963,1.777,0.108,-1.660,-1.708,-2.461,-0.112,-0.000,1.796,-2.336,2.304,0.942,-0.622,-0.675,-7.970,-0.009,-0.304,0.000,535.448,336.520
101457.292,302.799,1.167,0.411,0.099,-0.008,-2.594,-1.672,0.535,1.150,0.541,-2.283,-1.815,-2.033,-0.781,-0.104,1.902,-2.442,1.885,0.105,0.623,-1.238,-7.981,0.029,-0.294,0.000,535.448,336.520
101461.323,302.800,1.167,0.000,-0.138,0.152,-2.270,-1.115,0.000,1.673,0.108,-1.660,-1.495,-2.461,0.112,-1.355,1.796,-1.805,2.199,0.209,-0.000,-0.338,-7.981,-0.009,-0.304,0.000,535.448,336.520
101449.229,302.799,1.167,0.000,-0.059,-0.008,-2.918,-1.449,1.392,1.255,0.324,-1.868,-1.602,-1.926,-1.339,-0.000,1.162,-2.336,1.675,0.314,0.208,-1.013,-7.991,-0.009,-0.284,0.001,535.448,336.520
101457.292,302.804,1.167,0.411,0.099,0.312,-2.270,-0.780,0.749,1.568,0.324,-2.075,-0.961,-1.712,0.112,-0.834,1.479,-2.442,1.990,0.837,0.000,-0.563,-6.096,0.048,-0.233,-0.000,535.448,336.520
101453.260,302.804,1.167,0.000,-0.138,0.152,-2.378,-0.557,1.178,1.464,0.649,-1.453,-1.281,-1.605,0.000,0.209,2.007,-2.442,2.618,-0.522,0.623,-0.000,-6.044,0.029,-0.233,-0.001,535.448,336.520
101461.323,302.799,1.167,0.000,-0.059,0.152,-2.162,-1.226,1.178,1.882,0.324,-1.556,-1.068,-1.926,-0.112,0.104,1.902,-2.442,1.675,1.047,0.208,-0.675,-6.075,-0.009,-0.233,-0.000,535.448,336.520
101461.323,302.804,1.167,0.184,0.020,0.472,-2.162,-1.895,1.070,1.568,0.973,-2.283,-1.068,-1.712,-0.893,-0.625,1.585,-2.548,1.675,0.523,0.727,-1.463,-6.086,0.029,-0.223,-0.001,535.448,336.520
101465.355,302.807,1.167,0.184,0.020,0.152,-1.729,-1.449,0.856,1.882,0.649,-1.764,-1.922,-2.033,0.112,-0.625,1.585,-2.336,1.885,0.105,0.104,-0.225,-6.055,0.029,-0.233,-0.001,535.448,336.520
101461.323,302.805,1.167,0.000,-0.217,0.312,-2.810,-0.780,0.963,1.150,0.649,-1.660,-1.175,-1.712,-0.670,-0.104,1.268,-2.761,2.304,0.209,0.104,-0.675,-6.055,0.029,-0.233,-0.001,535.448,336.520
101465.355,302.805,1.167,0.000,-0.138,0.152,-2.054,-2.006,1.178,1.882,0.216,-1.660,-1.495,-0.963,-0.447,-0.313,2.113,-2.761,2.199,0.837,0.000,-0.450,-6.065,-0.009,-0.223,-0.001,535.448,336.520
101461.323,302.804,1.167,0.000,-0.138,0.152,-2.594,-0.892,0.214,1.777,0.865,-1.972,-1.175,-1.284,0.000,-0.521,1.796,-1.911,1.885,0.523,-0.207,-0.563,-6.075,0.048,-0.223,0.000,535.448,336.520
101465.355,302.802,1.167,0.000,-0.217,0.312,-2.270,-1.115,0.963,1.255,0.433,-1.660,-1.922,-2.247,0.000,-0.729,1.902,-2.230,1.990,-0.313,0.415,-0.450,-6.096,0.048,-0.243,-0.000,535.448,336.520
101461.323,302.799,1.167,0.000,-0.296,0.152,-2.162,-1.895,1.285,1.777,0.649,-1.557,-1.175,-2.140,-0.223,-0.208,1.796,-2.867,1.780,0.837,-0.104,-0.563,-6.107,0.010,-0.233,-0.001,535.448,336.520
101465.355,302.800,1.167,0.000,-0.217,-0.008,-2.054,-1.003,0.963,1.359,0.973,-1.764,-1.281,-1.712,-0.223,-0.104,2.007,-2.230,2.304,0.628,0.208,-1.013,-6.086,0.010,-0.243,0.000,535.448,336.520
101461.323,302.802,1.167,0.000,-0.296,-0.008,-2.162,-1.115,1.070,1.777,0.865,-1.141,-1.708,-1.498,0.336,-0.729,1.902,-2.548,2.723,0.523,0.000,-0.225,-6.096,0.010,-0.233,-0.000,535.448,336.520
101457.292,302.802,1.167,0.000,-0.296,0.472,-2.486,-1.003,1.285,1.777,0.973,-1.245,-0.961,-2.354,-0.446,0.209,1.690,-2.336,2.199,0.523,0.000,-0.225,-6.065,0.029,-0.213,0.000,535.448,336.520
101461.323,302.805,1.167,0.000,-0.217,0.152,-1.729,-1.672,0.856,1.777,0.649,-1.868,-0.961,-1.177,-0.446,-0.104,2.113,-3.186,1.989,1.047,0.000,-0.675,-6.055,0.029,-0.243,-0.000,535.448,336.520
101461.323,302.797,1.167,0.000,-0.217,0.472,-2.486,-0.669,0.000,1.673,0.324,-1.660,-1.388,-1.605,0.112,-0.729,1.690,-2.336,1.780,0.419,0.415,-1.125,-6.065,0.010,-0.243,0.000,535.448,336.520
101477.449,302.805,1.167,0.000,-0.138,0.472,-2.054,-1.449,1.285,0.523,0.324,-1.764,-1.495,-2.354,-0.335,-0.000,1.373,-2.230,2.199,0.000,0.208,-0.450,-6.065,0.048,-0.223,-0.000,535.448,336.520
101465.355,302.807,1.167,0.411,0.099,0.312,-1.946,-1.783,1.392,1.777,-0.540,-1.764,-1.815,-2.033,-0.112,-0.104,2.113,-2.973,1.885,0.419,-0.000,-0.450,-6.075,0.048,-0.223,-0.000,535.448,336.520
101465.355,302.805,1.167,0.552,0.178,0.152,-2.270,-1.560,0.642,1.987,0.865,-2.698,-1.068,-1.391,-0.558,0.104,1.902,-2.124,1.780,0.733,0.311,-1.238,-6.044,0.010,-0.243,0.000,535.448,336.520
101457.292,302.804,1.167,0.000,-0.217,-0.008,-1.946,-1.226,1.392,1.568,0.108,-1.349,-2.029,-1.605,0.336,-0.208,2.007,-2.336,2.408,0.209,0.311,-0.000,-6.086,0.029,-0.233,-0.000,535.448,336.520
101453.260,302.804,1.167,0.000,-0.375,0.152,-2.594,-1.337,1.285,1.673,1.081,-1.660,-1.708,-2.568,0.112,-0.104,1.796,-2.336,2.408,0.942,0.104,-0.450,-6.086,0.067,-0.223,-0.001,535.448,336.520
101441.166,302.800,1.167,0.000,-0.059,-0.168,-1.405,-1.672,0.963,1.777,0.649,-1.349,-1.602,-1.391,-1.116,-0.208,2.219,-2.442,2.409,0.733,0.415,-1.125,-4.003,-0.048,-0.182,-0.001,535.448,336.520
101445.197,302.804,1.167,0.000,-0.217,-0.008,-2.054,-1.115,0.428,1.986,0.649,-1.868,-1.068,-1.819,-0.112,-1.146,1.902,-2.548,1.885,-0.209,0.311,-0.338,-4.003,0.029,-0.142,-0.001,535.448,336.520
101449.229,302.807,1.167,0.411,0.099,-0.008,-2.918,-1.449,0.963,1.045,0.541,-1.868,-1.495,-2.033,-0.112,-0.000,1.373,-2.548,1.675,0.419,0.104,-0.450,-4.003,0.010,-0.182,0.000,535.448,336.520
101457.292,302.808,1.167,0.000,-0.059,0.152,-2.054,-2.006,0.749,1.568,-0.324,-1.764,-1.175,-1.605,-0.112,-0.521,2.219,-3.504,1.885,0.419,0.311,-1.125,-3.993,0.048,-0.172,-0.000,535.448,336.520
101461.323,302.805,1.167,0.000,-0.217,0.152,-2.270,-0.780,0.642,1.673,0.541,-2.179,-1.281,-1.498,-0.112,-1.042,1.690,-2.018,0.942,0.105,0.104,-1.238,-3.993,0.029,-0.172,-0.001,535.448,336.520
101465.355,302.807,1.167,0.000,-0.138,-0.008,-2.162,-1.449,0.535,1.255,0.324,-1.764,-2.242,-1.926,0.000,-0.104,1.585,-2.867,2.199,-0.313,0.000,-0.900,-4.003,0.029,-0.172,0.000,535.448,336.520
101457.292,302.807,1.167,0.000,-0.296,-0.328,-2.378,-1.783,0.749,2.091,-0.324,-2.075,-1.495,-2.996,-0.335,-0.417,1.690,-2.548,1.571,1.047,-0.104,-0.563,-4.014,0.010,-0.172,-0.001,535.448,336.520
