%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101884.626,302.01,1.175,0,-0.13,-0.104,-1.405,-1.115,1.392,1.986,0.324,-1.245,-0.747,-1.391,0.447,0.209,2.535,-1.912,2.513,0.942,0.208,0.677,-7.984,0.015,-0.565,0,535.448,336.52
101880.595,302.01,1.175,0.426,0.107,-0.104,-1.621,-0.669,1.499,2.509,1.298,-1.868,-0.214,-0.856,0.336,-0.208,2.43,-1.168,2.513,0.733,0.623,-0.225,-8.015,0.054,-0.544,0.001,535.448,336.52
101888.658,302.013,1.175,0.562,0.186,-0.104,-2.162,-0.446,1.82,1.882,0.649,-1.038,-1.175,-1.177,0.895,0,2.43,-1.168,3.036,0.314,0.934,0.451,-7.984,0.054,-0.565,0.002,535.448,336.52
101884.626,302.017,1.175,0.217,0.028,-0.104,-2.054,-0.892,1.499,2.091,1.081,-1.038,-0.747,-1.819,-0.335,0.835,2.535,-1.381,3.036,1.256,0.519,0.113,-7.984,0.035,-0.534,0.001,535.448,336.52
101880.595,302.018,1.175,0.426,0.107,0.056,-1.945,-1.56,1.499,2.091,0.757,-1.038,-1.281,-1.07,-0.223,0.522,3.169,-1.805,3.036,1.256,1.246,0.113,-7.994,0.073,-0.534,0.001,535.448,336.52
101884.626,302.01,1.175,0.562,0.186,0.056,-1.513,-0.892,0.749,2.3,0.649,-1.557,-1.068,-0.963,0.447,-0.104,2.535,-1.381,2.303,1.465,1.038,0.451,-7.994,0.035,-0.544,0.001,535.448,336.52
101884.626,302.018,1.175,0.562,0.186,0.376,-1.945,-0.669,1.499,1.882,0.865,-1.142,-0.534,-1.07,0.783,0.939,2.747,-1.062,3.036,0.523,1.661,0.338,-7.994,0.035,-0.544,0.001,535.448,336.52
101880.595,302.017,1.175,0,-0.051,0.536,-1.513,-0.669,1.499,2.823,0.649,-1.245,-0.747,-1.605,0.671,1.253,3.275,-2.018,2.827,1.779,0.934,1.015,-7.973,0.035,-0.544,0.001,535.448,336.52
101888.658,302.017,1.175,0.671,0.265,0.376,-1.297,-0.111,1.927,2.196,1.514,-1.038,-0.961,-1.498,0.336,0.731,2.535,-0.956,2.617,1.465,1.246,-0.788,-7.994,-0.004,-0.555,0.001,535.448,336.52
101892.689,302.017,1.175,0.562,0.186,0.056,-2.054,-0.111,1.499,2.091,1.19,-0.83,-1.175,-1.284,1.007,-0.417,2.852,-1.274,3.56,0.523,0.934,0.338,-7.994,0.054,-0.544,0,535.448,336.52
