%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100921.108,302.305,1.163,0,-0.158,-0.432,-2.702,-1.672,0,1.568,-0.216,-2.802,-1.815,-1.498,-0.781,-0.729,1.69,-2.549,1.466,0.419,0.312,-0.901,-8.023,0.047,-0.478,0.002,535.448,336.52
100921.108,302.304,1.163,0,0,-0.272,-2.81,-1.783,1.177,0.627,-0.216,-2.18,-2.349,-2.14,-0.223,-0.208,1.585,-2.761,2.094,-1.149,-0.104,-0.113,-8.065,0.009,-0.478,0.002,535.448,336.52
100925.14,302.305,1.163,0,-0.316,-0.432,-3.026,-2.118,0.535,0.836,-0.216,-2.698,-2.136,-2.889,-1.339,-0.625,1.585,-2.549,1.256,0.523,-0.829,-0.901,-8.044,0.028,-0.468,0.003,535.448,336.52
100925.14,302.307,1.163,0,-0.079,-0.112,-3.026,-2.898,0.428,1.255,0,-2.698,-1.495,-1.819,-1.674,-1.042,1.162,-2.549,1.466,0,0.104,-2.139,-8.033,0.028,-0.489,0.002,535.448,336.52
100925.14,302.305,1.163,0,-0.079,-0.592,-2.81,-1.783,-0.214,1.15,0.108,-3.114,-2.456,-2.461,-0.223,-1.876,1.057,-2.443,1.885,-0.313,-0.207,-0.675,-8.044,0.028,-0.468,0.002,535.448,336.52
100913.045,302.31,1.163,0,0,-0.432,-3.783,-1.895,1.177,0.418,0.108,-2.49,-2.029,-2.782,-1.563,-0.834,0.211,-2.549,1.152,0.105,-0.518,-1.351,-8.023,-0.01,-0.468,0.002,535.448,336.52
100933.203,302.312,1.163,0,0,-0.592,-2.594,-2.786,-0.214,1.15,-1.187,-2.283,-2.563,-2.033,-0.781,-0.521,1.585,-2.974,1.78,0.523,-0.415,-1.013,-8.023,0.009,-0.478,0.002,535.448,336.52
100933.203,302.31,1.163,0.521,0.158,-0.112,-2.378,-1.56,-0.321,0.836,0.324,-3.009,-2.349,-1.926,-0.223,-0.521,1.268,-2.867,1.361,0.209,-0.311,-0.788,-8.033,0.009,-0.489,0.003,535.448,336.52
100933.203,302.307,1.163,0,-0.079,-0.272,-2.594,-1.895,0.214,0.314,-0.108,-1.764,-3.097,-2.461,-1.339,-0.938,1.268,-2.974,2.094,-0.94,-0.207,-0.675,-8.023,0.009,-0.468,0.002,535.448,336.52
100933.203,302.31,1.163,0,-0.079,-0.592,-2.918,-2.006,0.428,1.046,-0.432,-2.283,-1.922,-3.21,-1.116,-0.521,1.057,-2.761,1.675,0.733,-0.933,-1.013,-8.075,0.009,-0.489,0.002,535.448,336.52
100933.203,302.304,1.163,0,-0.079,-0.432,-2.918,-2.341,0.321,1.255,0.216,-2.698,-2.136,-2.14,-1.339,-0.625,0.951,-2.655,1.885,0.209,0.312,-1.463,-8.002,0.047,-0.468,0.002,535.448,336.52
100929.171,302.305,1.163,0,-0.237,-0.752,-3.242,-1.56,0.321,1.673,0,-2.075,-2.242,-2.354,-0.112,-1.459,1.162,-2.549,2.094,-0.209,-0.726,-1.126,-8.033,0.009,-0.478,0.003,535.448,336.52
100921.108,302.305,1.163,0,-0.079,-0.432,-3.675,-1.783,0.963,0.941,0,-2.179,-2.029,-2.354,-1.116,-0.729,0.74,-2.761,2.199,0.105,-0.104,-1.013,-8.065,0.047,-0.468,0.002,535.448,336.52
100933.203,302.305,1.163,0,-0.079,-0.272,-2.27,-2.452,0.428,1.464,-0.432,-2.075,-1.922,-1.712,-0.781,-0.208,1.69,-3.186,2.094,0.419,-0.207,-0.788,-8.065,0.028,-0.478,0.003,535.448,336.52
100929.171,302.304,1.163,0,-0.237,-0.432,-2.378,-1.449,-0.107,1.046,0,-3.217,-2.349,-1.926,-0.558,-0.834,1.796,-2.549,0.942,0.209,0.208,-1.013,-8.065,0.028,-0.499,0.002,535.448,336.52
100929.171,302.307,1.163,0.521,0.158,-0.432,-2.594,-1.56,0.856,1.046,0.324,-1.868,-2.242,-1.712,-0.558,-0.313,1.479,-2.761,2.199,-0.418,0.104,-0.675,-8.065,0.009,-0.468,0.003,535.448,336.52
100937.234,302.305,1.163,0,0,-0.272,-3.134,-2.006,0.535,1.046,-0.216,-2.387,-1.602,-2.247,-0.67,-0.208,1.585,-2.761,1.78,0.628,-0.726,-0.563,-8.002,0.009,-0.489,0.003,535.448,336.52
100929.171,302.312,1.163,0.369,0.079,0.048,-2.27,-2.118,0.963,1.464,0.541,-1.972,-1.922,-1.819,-1.451,-0.521,1.479,-2.549,2.303,0.314,0.415,-1.463,-8.023,0.047,-0.478,0.003,535.448,336.52
100941.266,302.305,1.163,0,-0.079,-0.432,-2.702,-1.449,0,1.359,0.108,-2.179,-2.136,-2.461,0.336,-1.146,1.479,-2.549,2.094,0.105,0.208,0.338,-8.012,0.067,-0.468,0.002,535.448,336.52
100933.203,302.307,1.163,0,0,-0.272,-2.594,-2.006,0.963,0.314,0.324,-1.764,-1.388,-1.819,-0.446,-0.625,0.74,-2.549,2.199,0,0.519,-0.675,-8.033,0.028,-0.458,0.001,535.448,336.52
100941.266,302.313,1.163,0.369,0.079,-0.272,-2.918,-1.115,1.177,0.941,-0.108,-1.972,-2.029,-2.14,-1.005,-0.313,1.373,-2.867,1.78,-0.627,0.519,-0.563,-5.951,0.009,-0.397,0.002,535.448,336.52
100949.328,302.317,1.163,0.975,0.553,-0.432,-3.026,-2.341,0.749,1.464,-0.108,-1.972,-1.815,-1.926,-0.67,-0.104,1.796,-2.761,1.885,0.419,0,-1.126,-5.982,0.009,-0.387,0.002,535.448,336.52
