%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100521.994,302.378,1.158,0.234,0.032,0.2,-2.054,-1.337,0.856,1.568,0.433,-2.698,-1.708,-1.819,-0.558,-0.521,1.479,-2.018,1.99,0.209,0.727,-1.238,-6.991,0.022,-0.418,0.002,0,0
100517.963,302.368,1.158,0.234,0.032,0.2,-2.378,-0.892,0.642,1.673,-0.324,-1.764,-2.242,-2.033,-0.335,-0.625,1.373,-2.336,1.99,0.314,0,-0.45,-6.991,0.022,-0.428,0.002,0,0
100505.869,302.37,1.158,0.234,0.032,0.2,-3.675,-1.783,1.07,1.254,0,-1.557,-1.068,-2.033,-0.112,0,1.162,-2.442,2.304,0.419,-0.104,-0.338,-6.98,0.041,-0.438,0.002,0,0
100509.9,302.376,1.158,0,-0.047,0.04,-2.81,-2.341,0.642,1.673,0,-2.179,-1.815,-1.391,-1.228,-0.104,1.902,-2.655,2.408,0.628,0.623,-0.563,-7.001,0.002,-0.428,0.002,0,0
100501.837,302.368,1.158,0,-0.047,0.52,-2.378,-1.115,0,1.464,0.324,-2.387,-1.388,-2.033,0.447,-0.834,1.796,-1.911,1.885,0.942,0.519,-0.225,-7.022,0.022,-0.418,0.002,0,0
100505.869,302.37,1.158,0.234,0.032,0.2,-2.486,-1.895,1.07,1.15,0.324,-1.557,-1.922,-2.14,0.224,-0.313,1.69,-2.124,2.513,0,0.208,-0.45,-7.001,0.041,-0.428,0.003,0,0
100505.869,302.367,1.158,0,-0.047,-0.12,-2.378,-1.337,0.856,1.777,-0.324,-1.142,-1.495,-1.498,-0.112,-0.417,2.641,-2.336,2.199,0.837,-0.207,0,-7.032,0.041,-0.418,0.001,0,0
100497.806,302.373,1.158,0,-0.205,0.2,-2.054,-1.337,1.284,1.673,0.649,-1.972,-1.388,-1.605,-0.112,-0.104,2.007,-1.911,2.618,0.314,1.038,-0.338,-7.022,0.022,-0.428,0.002,0,0
100497.806,302.37,1.158,0,-0.126,0.52,-2.378,-0.669,0.321,2.196,0.216,-1.142,-2.136,-1.712,0.336,-0.313,2.324,-2.018,2.723,0.733,0,-0.113,-6.991,0.041,-0.428,0.002,0,0
100489.743,302.371,1.158,0.437,0.111,0.2,-3.134,-1.226,1.07,1.464,0.541,-1.868,-1.281,-2.14,-0.112,0.313,1.373,-2.336,2.199,0.523,0.519,-0.225,-7.011,0.06,-0.428,0.003,0,0
