%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101195.247,302.350,1.166,0.339,0.067,0.144,-2.702,-0.892,1.070,1.359,0.324,-1.453,-1.495,-1.712,-0.558,0.418,1.373,-2.230,2.723,0.837,0.519,-0.113,-7.944,0.016,-0.467,0.002,535.448,336.520
101211.373,302.350,1.166,0.000,-0.012,0.304,-1.945,-1.895,0.535,1.882,-0.108,-1.764,-1.495,-1.926,-0.447,0.313,2.430,-2.443,3.037,1.361,0.519,-0.113,-7.944,-0.022,-0.477,0.002,535.448,336.520
101195.247,302.350,1.166,0.000,-0.091,0.144,-2.162,-0.780,0.856,1.882,1.081,-2.179,-1.281,-1.498,0.000,-0.208,2.324,-1.805,1.780,0.628,0.935,-0.675,-7.965,0.016,-0.477,0.002,535.448,336.520
101195.247,302.350,1.166,0.339,0.067,0.304,-2.702,-1.337,1.177,1.255,0.216,-1.660,-1.708,-1.391,-0.223,0.104,2.218,-2.336,3.037,0.105,0.727,0.677,-7.955,-0.003,-0.477,0.002,535.448,336.520
101203.310,302.350,1.166,0.722,0.304,0.464,-2.054,-1.672,0.856,1.673,0.108,-1.660,-1.175,-2.140,0.112,0.522,2.430,-1.912,2.199,1.151,0.104,-0.113,-7.934,-0.003,-0.487,0.003,535.448,336.520
101195.247,302.357,1.166,0.501,0.146,0.304,-2.270,-1.672,0.749,2.091,0.865,-1.764,-0.854,-1.498,-0.335,0.418,2.324,-2.018,3.037,0.942,1.142,-0.788,-7.944,0.035,-0.497,0.003,535.448,336.520
101203.310,302.352,1.166,0.000,-0.012,0.464,-2.162,-0.669,0.321,1.673,0.216,-1.764,-1.815,-1.926,0.112,-0.938,1.796,-1.912,2.199,0.523,1.246,0.564,-7.934,-0.003,-0.487,0.002,535.448,336.520
101207.342,302.350,1.166,0.622,0.225,0.464,-2.054,-0.892,1.499,1.255,0.757,-1.038,-0.747,-1.177,-0.335,0.522,1.479,-2.018,2.827,0.733,0.415,0.113,-7.944,-0.003,-0.477,0.002,535.448,336.520
101203.310,302.354,1.166,0.000,-0.012,0.304,-1.945,-1.783,1.070,1.882,-0.864,-1.972,-1.281,-1.926,0.224,-0.000,2.747,-1.805,2.199,1.256,0.208,0.226,-7.955,0.035,-0.487,0.002,535.448,336.520
101191.216,302.352,1.166,0.501,0.146,-0.016,-1.405,-0.446,0.963,1.987,0.973,-2.075,-1.388,-0.963,-0.335,-0.104,1.902,-1.593,2.199,0.942,0.519,-0.788,-7.934,0.016,-0.477,0.001,535.448,336.520
101199.279,302.349,1.166,0.000,-0.091,0.304,-2.378,-0.669,1.070,1.882,0.433,-1.453,-1.602,-1.498,0.336,-0.000,2.641,-1.487,2.723,0.733,0.519,0.677,-7.955,-0.003,-0.507,0.002,535.448,336.520
101191.216,302.347,1.166,0.000,-0.012,-0.016,-3.026,-1.449,0.963,1.568,0.324,-1.557,-1.602,-1.712,0.000,0.104,1.690,-1.699,2.827,1.047,0.312,0.338,-7.976,0.016,-0.477,0.002,535.448,336.520
101187.184,302.347,1.166,0.000,-0.091,-0.016,-1.513,-1.672,1.284,2.300,0.757,-1.349,-1.175,-0.535,-0.781,0.209,2.429,-2.336,2.932,1.047,0.312,-0.113,-7.955,0.016,-0.487,0.002,535.448,336.520
101191.216,302.346,1.166,0.000,-0.012,0.304,-2.486,-1.337,0.000,1.255,-0.216,-1.972,-1.708,-1.284,0.447,-0.834,2.324,-2.336,1.990,1.047,0.831,0.226,-7.923,0.016,-0.497,0.001,535.448,336.520
101207.342,302.349,1.166,0.501,0.146,0.144,-2.054,-0.892,1.499,1.359,0.649,-1.557,-1.602,-1.819,0.336,0.209,1.690,-2.124,2.513,0.000,0.727,0.113,-7.955,0.016,-0.467,0.003,535.448,336.520
101199.279,302.350,1.166,0.501,0.146,-0.016,-2.270,-1.226,1.177,2.300,-0.432,-1.349,-1.281,-1.926,-0.447,0.104,2.429,-2.443,2.408,1.256,0.311,0.113,-7.934,0.016,-0.477,0.003,535.448,336.520
101195.247,302.350,1.166,0.722,0.304,0.784,-2.054,-1.115,0.749,1.987,0.757,-2.594,-1.281,-1.712,-0.893,-0.313,2.218,-1.912,2.408,0.837,0.519,-0.113,-7.944,0.016,-0.467,0.002,535.448,336.520
