%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100868.699,303.416,1.158,0.320,0.059,-0.024,-3.242,-1.895,0.107,1.150,0.108,-2.075,-2.349,-2.355,-1.005,-1.355,1.902,-2.230,1.885,-0.000,0.000,-1.013,-7.063,0.068,-0.408,0.001,535.448,336.520
100868.699,303.420,1.158,0.320,0.059,-0.024,-3.134,-1.672,0.428,0.314,-0.108,-2.179,-1.708,-1.605,-0.670,-0.104,0.528,-2.336,1.885,-0.522,0.104,-1.013,-7.052,0.030,-0.429,0.002,535.448,336.520
100876.762,303.420,1.158,0.489,0.138,0.456,-1.945,-2.675,0.428,1.046,-0.864,-2.283,-1.922,-2.140,-1.005,-0.834,1.902,-3.398,1.885,-0.104,-0.207,-0.788,-7.052,0.049,-0.418,0.001,535.448,336.520
100876.762,303.420,1.158,0.320,0.059,0.616,-2.594,-1.672,0.749,0.627,0.108,-3.217,-1.708,-1.712,-0.893,-0.417,1.585,-2.336,1.571,0.105,0.000,-1.801,-7.032,0.030,-0.398,0.003,535.448,336.520
100888.857,303.420,1.158,0.715,0.296,0.296,-2.486,-1.895,0.642,0.732,0.108,-2.075,-2.990,-2.033,-1.116,-1.146,1.690,-2.443,1.780,-0.000,-0.311,-0.450,-7.042,0.030,-0.398,0.002,535.448,336.520
100880.794,303.418,1.158,0.320,0.059,0.616,-3.675,-2.341,0.107,1.150,-0.000,-1.972,-1.815,-2.783,-1.116,-0.625,1.056,-2.549,1.885,0.314,-0.311,-1.013,-7.052,0.049,-0.408,0.002,535.448,336.520
100896.920,303.418,1.158,0.613,0.217,0.296,-2.486,-2.675,0.535,1.255,-0.000,-2.698,-2.456,-1.819,-1.228,-0.729,1.796,-3.505,1.885,0.209,-0.622,-0.788,-7.032,0.011,-0.408,0.003,535.448,336.520
100884.825,303.421,1.158,0.489,0.138,0.296,-3.026,-1.449,-0.534,0.627,-0.000,-2.698,-2.349,-1.712,-0.223,-0.938,1.056,-2.336,1.257,-0.104,-0.104,-1.013,-7.042,0.068,-0.398,0.002,535.448,336.520
100884.825,303.416,1.158,0.320,0.059,0.296,-3.026,-1.783,0.535,0.627,-0.216,-2.490,-2.883,-2.248,-0.670,-0.625,1.056,-2.655,1.257,-0.313,0.208,-0.450,-7.042,0.049,-0.418,0.002,535.448,336.520
100872.731,303.415,1.158,0.000,-0.099,-0.024,-3.026,-2.006,0.000,0.732,-0.216,-2.283,-2.029,-2.355,-0.670,-0.417,1.268,-3.080,1.152,-0.104,-0.622,-0.901,-7.042,0.049,-0.418,0.002,535.448,336.520
100876.762,303.418,1.158,0.000,-0.099,-0.184,-2.810,-2.563,-0.107,1.046,-0.000,-2.490,-2.242,-1.926,-1.451,-0.729,1.268,-3.186,1.990,-0.104,-0.207,-1.464,-7.042,0.030,-0.408,0.002,535.448,336.520
