%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100957.391,300.906,1.169,0.647,0.245,0.512,-1.838,-2.118,0.642,1.568,0.216,-1.453,-1.281,-1.712,-0.558,0,2.219,-2.655,2.408,0.523,0.311,-1.126,-7.947,0.197,-0.293,0.001,535.448,336.52
100945.297,300.906,1.169,0.648,0.245,0.032,-2.162,-1.003,0.428,1.15,0.541,-2.594,-1.281,-1.498,0.335,-0.521,2.007,-2.124,2.199,0.628,0.727,-0.563,-7.936,0.177,-0.283,0,535.448,336.52
100961.423,300.902,1.169,0.533,0.166,0.192,-1.73,-1.337,2.034,1.046,0.108,-1.349,-2.136,-1.391,0.335,0.418,1.585,-2.018,3.037,0.628,0.831,-0.45,-7.957,0.216,-0.293,0.002,535.448,336.52
100949.328,300.901,1.169,0.386,0.087,0.352,-2.162,-1.783,1.177,2.091,-0.216,-1.868,-1.388,-2.569,-0.112,-0.104,2.113,-2.124,2.199,1.361,0.311,-0.225,-7.957,0.235,-0.283,0,535.448,336.52
100957.391,300.901,1.169,0.386,0.087,0.512,-2.054,-1.895,0.963,1.777,1.081,-1.972,-1.922,-1.284,-0.893,0.313,1.902,-2.23,2.408,0.942,0.934,-0.675,-7.926,0.216,-0.273,0.002,535.448,336.52
100953.36,300.902,1.169,0.83,0.403,0.352,-2.162,-0.78,0.214,1.777,0.324,-1.349,-1.495,-1.819,-0.112,-0.521,2.219,-2.124,2.513,1.047,0.208,-0.675,-7.936,0.197,-0.293,0.001,535.448,336.52
100953.36,300.899,1.169,0.647,0.245,0.352,-1.73,-0.892,0.856,1.568,0.649,-1.453,-1.708,-0.963,-0.558,0.209,1.69,-1.912,2.408,0.105,0.208,-0.901,-7.916,0.177,-0.283,0.001,535.448,336.52
100957.391,300.904,1.169,0.83,0.403,0.512,-2.378,-2.229,0.749,1.882,-0.756,-1.557,-1.175,-1.819,0.112,0,2.219,-2.761,2.513,1.361,0.311,-0.563,-7.926,0.197,-0.283,0.001,535.448,336.52
100953.36,300.901,1.169,0.647,0.245,0.512,-2.054,-1.115,0.535,2.195,0.649,-2.387,-1.281,-1.926,-0.893,-0.313,1.796,-2.018,2.408,1.047,0.104,-0.788,-7.936,0.216,-0.283,0.001,535.448,336.52
100953.36,300.901,1.169,0.386,0.087,0.352,-2.162,-1.226,0.642,1.464,-0.216,-1.245,-2.029,-1.926,0.112,-0.625,2.324,-1.381,2.723,0.837,0.311,-0.338,-7.957,0.177,-0.273,0.001,535.448,336.52
100953.36,300.899,1.169,0.116,0.008,0.192,-2.919,-1.003,0.749,1.777,0.541,-1.764,-0.961,-2.14,-0.335,-0.208,1.479,-2.549,2.513,1.151,0.415,-0.225,-7.957,0.197,-0.283,0.001,535.448,336.52
100957.391,300.902,1.169,0.386,0.087,0.512,-2.27,-2.341,0.856,1.568,-0.108,-1.349,-1.388,-1.498,-0.67,-0.208,2.113,-2.867,2.618,0.733,0.519,-0.563,-7.957,0.177,-0.273,0.002,535.448,336.52
100957.391,300.902,1.169,0.647,0.245,0.192,-2.27,-1.003,0.642,1.777,0.757,-1.868,-1.388,-1.391,0,-0.313,1.902,-2.124,1.885,1.361,0.208,-0.788,-7.947,0.197,-0.273,0.001,535.448,336.52
100961.423,300.902,1.169,0.83,0.403,0.192,-2.378,-1.337,1.499,0.836,-0.216,-2.075,-2.349,-1.819,-0.112,0.313,2.324,-1.168,2.827,-0.209,0.727,0,-7.936,0.177,-0.273,0.001,535.448,336.52
100957.391,300.904,1.169,0.647,0.245,0.352,-2.27,-0.892,0.856,2.3,0.216,-1.868,-1.068,-2.248,-0.558,0.418,2.219,-2.443,2.199,1.361,0,-0.675,-7.936,0.177,-0.283,0.001,535.448,336.52
100961.423,300.906,1.169,0.745,0.324,0.192,-1.73,-1.56,1.177,1.882,0.649,-1.972,-1.708,-1.07,-1.228,0.209,1.902,-2.336,2.513,0.837,0.727,-0.901,-7.947,0.216,-0.283,0.001,535.448,336.52
100953.36,300.904,1.169,0.745,0.324,0.352,-2.054,-1.226,0.535,2.091,0.541,-1.66,-2.136,-0.963,0.336,-0.625,2.113,-1.912,3.141,0.523,0.623,0.113,-7.947,0.177,-0.293,0.001,535.448,336.52
100953.36,300.901,1.169,0.647,0.245,0.192,-2.162,-1.338,1.392,0.836,1.081,-1.557,-1.281,-1.819,0,1.044,1.69,-1.912,2.408,0.733,0.831,-0.225,-7.968,0.177,-0.283,0.001,535.448,336.52
100957.391,300.904,1.169,0.647,0.245,0.192,-2.054,-1.226,0.963,1.986,-0.324,-1.764,-1.175,-1.712,-0.447,0.104,2.43,-2.761,2.408,0.942,-0.207,-0.225,-7.957,0.235,-0.283,0.001,535.448,336.52
100965.454,300.902,1.169,0.83,0.403,0.352,-2.054,-0.78,0.428,1.987,0.649,-1.972,-1.388,-1.498,-0.558,-0.417,2.324,-2.124,2.304,1.047,0.104,-0.675,-7.947,0.216,-0.273,0.001,535.448,336.52
100953.36,300.956,1.169,0.745,0.324,0.032,-1.729,-0.111,1.07,1.882,0.973,-0.934,-1.922,-1.177,0.224,-0.208,2.324,-2.018,2.723,1.256,0.831,-0.338,-6,0.235,-0.202,0.001,535.448,336.52
100953.36,300.956,1.169,0.648,0.245,0.352,-2.054,-0.892,1.606,1.255,1.19,-1.349,-1.388,-1.284,-0.335,0,2.007,-2.443,3.037,0.209,0.623,0.113,-5.969,0.235,-0.202,0.001,535.448,336.52
100961.423,300.956,1.169,0.745,0.324,0.032,-1.945,-1.003,1.177,2.091,0.216,-1.557,-1.281,-1.712,-0.447,0.418,2.218,-2.018,2.932,1.151,0.104,0.113,-5.989,0.274,-0.222,0,535.448,336.52
100945.297,300.957,1.168,0.533,0.166,-0.128,-1.729,-1.003,1.284,1.987,0.973,-2.387,-0.534,-1.284,-0.335,0.522,2.113,-1.062,2.827,1.361,0.831,-0.901,-5.989,0.235,-0.212,0.001,535.448,336.52
100945.297,300.954,1.168,0.386,0.087,0.192,-2.378,-0.669,1.07,1.673,0.324,-1.038,-1.922,-1.605,-0.112,-0.313,2.324,-1.805,2.408,1.151,0.312,-0.113,-6.01,0.216,-0.182,0.001,535.448,336.52
100949.328,300.957,1.169,0.648,0.245,-0.128,-2.27,-1.226,1.284,1.359,0.324,-1.453,-1.602,-1.926,0.224,1.044,1.69,-1.912,2.932,0.942,0.727,-0.113,-6.01,0.254,-0.202,0.001,535.448,336.52
100945.297,300.956,1.168,0.386,0.087,0.192,-2.054,-1.449,0.749,1.673,0.865,-1.972,-1.495,-1.498,-0.558,0,2.218,-2.761,3.246,0.837,0.831,-0.45,-6,0.274,-0.192,0.001,535.448,336.52
100953.36,300.952,1.169,0.648,0.245,0.352,-2.162,-0.669,0.535,1.464,0.324,-2.075,-1.388,-1.498,0,0.313,2.113,-2.336,2.199,1.047,0.312,-0.338,-5.969,0.197,-0.202,0.002,535.448,336.52
100953.36,300.959,1.169,0.648,0.245,0.192,-2.378,-0.446,1.284,1.15,0.649,-1.764,-1.922,-1.07,-0.335,0.209,1.902,-2.443,2.723,0.209,0.623,-0.338,-5.958,0.216,-0.202,0.001,535.448,336.52
100957.391,300.962,1.169,0.386,0.087,0.512,-2.27,-1.561,1.284,1.882,0.324,-1.453,-1.815,-2.569,-0.112,0.418,2.113,-2.443,2.408,1.256,0.312,-0.675,-5.969,0.235,-0.212,0.001,535.448,336.52
100953.36,300.959,1.169,0.648,0.245,0.032,-1.729,-1.561,1.07,1.777,0.865,-1.868,-2.136,-1.712,-0.893,-0.313,1.902,-2.124,2.513,0.733,0.415,-1.013,-6,0.254,-0.192,0.001,535.448,336.52
100953.36,300.957,1.169,0.648,0.245,0.192,-1.945,-0.78,0.535,1.568,0.324,-1.868,-2.029,-2.14,-0.223,-0.834,1.902,-1.699,2.618,0.942,0.831,0,-5.989,0.254,-0.212,0,535.448,336.52
100949.328,300.962,1.169,0.533,0.166,0.192,-2.594,-1.226,1.177,0.836,0.324,-1.972,-1.815,-1.926,-0.893,0.104,1.268,-2.655,2.723,-0.313,0.312,0.226,-6,0.254,-0.202,0,535.448,336.52
100949.328,300.957,1.169,0.648,0.245,0.192,-1.621,-1.561,1.07,1.777,0.108,-1.66,-1.708,-2.033,-0.67,-0.104,2.218,-2.549,2.618,0.942,-0.104,-0.901,-5.989,0.254,-0.202,0.001,535.448,336.52
100949.328,300.962,1.169,0.831,0.403,0.512,-2.054,-0.892,0.642,1.882,0.649,-2.387,-1.815,-1.391,-0.558,-0.417,2.113,-1.487,1.99,0.523,0.519,-0.788,-6,0.216,-0.212,0,535.448,336.52
100957.391,300.964,1.169,0.98,0.561,0.512,-2.162,-1.115,0.856,1.568,-0.108,-1.349,-2.136,-1.712,-0.335,-0.104,2.218,-2.23,2.618,0.314,0.623,-0.225,-5.979,0.216,-0.212,0.001,535.448,336.52
100953.36,300.962,1.169,0.908,0.482,0.672,-2.486,-0.892,0.963,1.568,0.541,-2.075,-1.068,-2.033,-0.781,0.626,1.796,-2.23,2.618,0.837,0.415,-0.338,-5.969,0.216,-0.202,0.001,535.448,336.52
100953.36,300.962,1.169,0.745,0.324,0.192,-1.946,-1.672,0.856,1.673,0.649,-1.868,-1.602,-1.605,-0.447,-0.313,2.43,-2.761,2.618,1.465,0.519,-0.788,-5.948,0.254,-0.202,0.001,535.448,336.52
100949.328,300.962,1.169,0.386,0.087,0.192,-2.27,-1.226,0.963,1.673,0.757,-2.179,-2.029,-1.498,-0.112,-0.313,1.479,-2.655,1.571,0.628,0.935,-0.563,-5.979,0.254,-0.202,0.001,535.448,336.52
100945.297,300.96,1.168,0.745,0.324,0.352,-2.486,-1.338,1.499,0.732,0.216,-1.453,-1.922,-1.926,0.224,0.522,2.007,-2.124,2.304,0.314,0.623,-0.225,-5.989,0.235,-0.202,0.001,535.448,336.52
100945.297,300.999,1.168,0.908,0.482,0.192,-1.73,-0.892,1.07,1.777,0.324,-1.66,-1.922,-1.926,0.335,-0.834,2.219,-2.336,2.513,0.523,-0.415,0.338,-3.98,0.254,-0.131,0.001,535.448,336.52
100949.328,300.993,1.168,0.745,0.324,0.192,-2.702,-0.892,0.963,1.777,0.757,-1.972,-1.068,-1.926,-0.223,0.104,1.479,-1.912,2.723,0.419,0.311,-0.113,-3.99,0.216,-0.131,0.001,535.448,336.52
100949.328,300.998,1.168,0.831,0.403,0.192,-2.054,-2.006,0.749,1.568,-0.108,-1.764,-1.602,-1.498,-0.447,0.313,2.007,-2.336,2.408,1.361,0.727,-0.901,-4.001,0.235,-0.141,0.002,535.448,336.52
100937.234,300.998,1.168,0.533,0.166,0.032,-2.378,-1.003,0.856,2.091,0.433,-2.387,-1.281,-1.284,0.335,-0.313,2.007,-1.805,1.99,0.942,0.311,-1.013,-4.001,0.274,-0.131,0.001,535.448,336.52
