%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101888.658,302.981,1.172,0.000,-0.047,-0.360,-1.189,-0.334,1.284,2.091,0.757,-1.661,-0.641,-1.284,0.112,0.418,2.219,-1.274,2.094,1.988,0.831,-0.225,-7.982,0.015,-0.496,0.003,535.448,336.520
101900.752,302.983,1.172,0.435,0.111,-0.040,-1.513,-0.334,2.034,1.777,0.973,-0.934,-1.175,-1.284,0.559,0.522,1.902,-2.124,2.932,0.209,0.935,0.226,-7.951,0.015,-0.465,0.002,535.448,336.520
101892.689,302.981,1.172,0.000,-0.047,-0.360,-1.405,-0.780,2.034,2.405,0.433,-1.038,-0.320,-1.498,-0.000,0.522,2.641,-1.593,2.617,1.256,0.312,0.226,-7.982,0.034,-0.475,0.002,535.448,336.520
101896.721,302.979,1.172,0.232,0.032,-0.200,-1.729,-1.560,1.499,2.091,0.973,-1.557,-1.175,-0.856,-0.670,0.104,1.796,-2.124,2.303,1.151,0.935,-0.563,-7.972,0.015,-0.496,0.002,535.448,336.520
101888.658,302.981,1.172,0.000,-0.364,-0.360,-1.837,-0.446,1.070,2.196,0.973,-1.038,-0.534,-1.605,0.224,-0.521,2.219,-1.274,3.141,0.837,0.312,0.564,-7.993,-0.004,-0.475,0.001,535.448,336.520
101892.689,302.981,1.172,0.000,-0.047,-0.360,-2.162,-1.115,1.713,1.673,0.973,-1.038,-1.388,-1.605,0.559,0.626,1.796,-1.168,2.932,0.733,1.038,0.451,-7.972,0.015,-0.465,0.001,535.448,336.520
101880.595,302.978,1.171,0.000,-0.126,-0.520,-1.297,-1.560,1.177,2.300,0.108,-1.245,-0.961,-1.284,0.559,0.313,2.958,-2.124,2.722,0.942,0.623,0.451,-7.972,0.034,-0.475,0.001,535.448,336.520
101888.658,302.979,1.172,0.000,-0.047,-0.520,-1.621,-0.557,0.856,1.987,0.649,-2.075,-1.281,-1.284,0.224,0.626,2.430,-1.487,2.094,1.151,0.831,-0.450,-7.982,0.015,-0.485,0.002,535.448,336.520
101888.658,302.979,1.172,0.000,-0.047,-0.200,-1.729,-0.557,1.820,1.777,0.757,-1.141,-1.815,-1.605,0.559,0.000,1.902,-1.805,3.036,0.942,0.312,0.113,-7.961,0.015,-0.496,0.002,535.448,336.520
101888.658,302.979,1.172,0.000,-0.205,-0.200,-2.054,-1.003,1.391,1.987,0.649,-1.141,-0.320,-1.712,-0.000,0.522,2.113,-1.381,3.036,0.837,0.623,0.226,-7.982,0.034,-0.485,0.002,535.448,336.520
101896.721,302.979,1.172,0.770,0.348,-0.040,-1.621,-1.115,1.284,2.091,0.541,-0.726,-0.534,-0.535,-0.335,0.418,3.274,-2.443,2.722,1.674,1.142,0.226,-7.941,0.015,-0.465,0.002,535.448,336.520
101900.752,302.979,1.172,0.677,0.269,-0.360,-2.270,-0.557,0.856,1.987,0.216,-1.868,-0.961,-1.605,0.783,-0.208,2.007,-1.805,2.617,1.256,1.350,0.790,-7.982,0.015,-0.475,0.002,535.448,336.520
