%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101090.429,302.109,1.166,0.386,0.087,0.048,-1.729,-0.557,1.820,2.300,0.973,-0.830,-0.320,-1.391,0.336,0.835,2.430,-1.593,2.932,1.465,0.311,-0.000,-6.009,0.151,-0.373,0.002,535.448,336.520
101078.335,302.107,1.166,0.000,-0.071,-0.112,-0.973,-1.003,2.034,2.300,0.757,-0.727,-0.534,-0.642,-0.335,0.626,2.324,-1.381,3.455,1.361,1.453,0.338,-6.019,0.132,-0.383,0.004,535.448,336.520
101086.398,302.110,1.166,0.000,-0.150,0.048,-1.405,0.335,1.392,2.823,1.190,-0.519,-0.854,-1.070,0.895,-0.417,2.852,-1.487,2.932,0.628,1.142,0.451,-6.040,0.151,-0.403,0.004,535.448,336.520
101090.429,302.109,1.166,0.000,-0.150,0.048,-2.054,-0.669,2.141,1.777,1.190,-0.519,-0.107,-0.856,0.447,1.253,1.902,-1.487,3.141,0.942,1.038,-0.000,-6.009,0.170,-0.383,0.002,535.448,336.520
101090.429,302.109,1.166,0.386,0.087,-0.112,-1.189,-1.003,1.392,2.718,0.433,-0.727,-0.214,-1.391,0.559,0.835,3.169,-1.593,3.141,1.465,0.415,0.451,-6.030,0.132,-0.393,0.003,535.448,336.520
101094.461,302.109,1.166,0.116,0.008,0.048,-1.081,-0.446,1.392,2.196,1.514,-1.245,-0.534,-0.642,0.224,0.209,2.007,-2.018,2.199,1.151,1.350,-0.225,-5.998,0.132,-0.393,0.002,535.448,336.520
101086.398,302.113,1.166,0.116,0.008,0.208,-1.405,-0.557,2.141,2.300,0.757,-0.519,-1.495,-1.070,0.112,-0.104,2.113,-0.956,3.141,0.628,1.142,0.790,-6.009,0.112,-0.383,0.002,535.448,336.520
101098.492,302.109,1.166,0.534,0.166,-0.112,-1.945,-0.892,1.392,1.987,0.865,-0.830,-0.427,-1.926,0.336,1.148,2.007,-1.593,3.036,1.361,0.623,0.338,-5.998,0.132,-0.383,0.004,535.448,336.520
101098.492,302.112,1.166,0.534,0.166,0.368,-1.729,-1.226,1.499,2.405,1.081,-0.934,-0.854,-0.749,-0.112,0.313,2.747,-1.912,2.722,1.361,1.142,0.338,-5.998,0.132,-0.383,0.002,535.448,336.520
101102.524,302.112,1.166,0.386,0.087,0.368,-1.837,-0.446,0.642,2.405,1.406,-1.038,-0.534,-1.498,0.671,-0.521,2.007,-1.381,2.513,1.256,1.246,0.790,-5.988,0.132,-0.383,0.004,535.448,336.520
101094.461,302.112,1.166,0.648,0.245,0.208,-1.405,-0.669,2.141,1.568,0.541,-0.934,-0.854,-0.963,0.559,0.626,2.324,-1.168,2.827,0.628,1.038,0.564,-5.977,0.170,-0.362,0.002,535.448,336.520
101094.461,302.110,1.166,0.000,-0.071,0.048,-1.729,-1.226,1.499,2.509,0.216,-0.311,-0.641,-0.963,0.671,0.731,2.219,-1.699,2.513,1.570,0.208,0.564,-6.019,0.112,-0.383,0.003,535.448,336.520
101086.398,302.107,1.166,0.000,-0.071,0.048,-1.513,-0.780,1.713,2.300,1.190,-1.038,-0.747,-1.391,0.112,0.522,2.536,-1.699,2.722,1.779,1.557,-0.338,-5.998,0.151,-0.373,0.003,535.448,336.520
101098.492,302.109,1.166,0.116,0.008,0.048,-1.729,-0.223,1.499,1.882,0.757,-0.830,-1.602,-0.963,0.559,0.000,2.536,-1.487,2.722,0.942,1.038,0.902,-5.998,0.112,-0.373,0.004,535.448,336.520
101090.429,302.110,1.166,0.000,-0.071,0.208,-2.054,-0.892,2.141,2.405,0.865,-0.415,-0.427,-1.712,0.671,0.731,1.585,-1.593,2.932,2.093,0.934,0.113,-5.988,0.132,-0.383,0.002,535.448,336.520
101098.492,302.109,1.166,0.386,0.087,0.368,-1.081,-1.672,1.820,2.091,0.108,-0.934,-0.320,-1.177,0.000,-0.104,2.958,-1.912,2.617,1.465,1.453,0.000,-6.009,0.132,-0.362,0.004,535.448,336.520
101090.429,302.112,1.166,0.386,0.087,0.368,-1.189,-0.334,1.070,2.405,0.541,-1.557,-0.320,-1.177,0.671,-0.104,2.324,-1.593,1.885,1.256,0.831,-0.113,-6.009,0.132,-0.393,0.002,535.448,336.520
101106.555,302.113,1.166,0.534,0.166,0.528,-1.945,-0.669,1.820,1.777,0.865,-1.764,-1.495,-1.605,0.559,0.209,2.219,-1.381,2.827,0.209,0.831,0.790,-5.998,0.132,-0.373,0.002,535.448,336.520
101086.398,302.112,1.166,0.534,0.166,-0.112,-1.837,-0.334,2.141,2.300,0.757,-0.727,-1.175,-0.856,0.783,0.104,2.219,-1.912,2.827,0.523,1.246,0.677,-4.020,0.132,-0.241,0.002,535.448,336.520
101086.398,302.109,1.166,0.116,0.008,0.048,-2.054,-0.780,1.284,3.137,0.973,-0.934,-0.534,-1.605,0.224,0.939,2.747,-1.699,2.827,1.779,1.246,0.677,-3.989,0.151,-0.251,0.002,535.448,336.520
101086.398,302.109,1.166,0.116,0.008,-0.112,-1.189,-1.449,1.284,1.987,1.622,-0.830,-0.427,-1.070,-0.000,0.313,2.958,-1.274,3.141,1.465,1.350,-0.225,-3.968,0.151,-0.241,0.003,535.448,336.520
101094.461,302.112,1.166,0.386,0.087,-0.112,-1.837,-0.669,1.392,2.300,0.865,-0.830,-0.961,-1.177,0.783,-0.208,2.958,-1.487,2.722,1.465,1.038,0.564,-3.978,0.151,-0.230,0.001,535.448,336.520
101086.398,302.110,1.166,0.386,0.087,-0.112,-2.270,-1.115,1.713,1.464,0.541,-0.830,-0.107,-1.284,0.112,1.044,1.796,-1.593,2.513,0.733,0.935,0.113,-3.999,0.151,-0.241,0.002,535.448,336.520
101086.398,302.107,1.166,0.534,0.166,-0.112,-1.189,-1.003,1.284,2.509,0.541,-0.830,-0.534,-0.856,0.336,0.418,2.430,-2.230,3.141,1.674,0.623,0.451,-3.978,0.132,-0.251,0.003,535.448,336.520
