%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101566.141,303.936,1.164,0.611,0.217,0.328,-2.162,-0.892,0.214,1.673,0.324,-2.491,-0.961,-1.819,-0.446,-0.104,1.690,-2.336,1.256,0.523,0.727,-0.788,-7.004,0.007,-0.247,0.001,535.448,336.520
101566.141,303.934,1.164,0.487,0.138,0.168,-2.702,-1.226,1.177,1.045,-0.108,-1.557,-1.922,-1.284,0.112,-0.000,1.584,-2.336,2.408,0.209,0.623,-0.338,-6.993,0.007,-0.237,0.001,535.448,336.520
101570.173,303.932,1.164,0.319,0.059,0.648,-2.270,-1.337,1.177,1.568,-0.108,-1.660,-1.388,-2.461,0.224,-0.313,2.113,-2.655,2.199,0.942,0.000,-0.338,-7.004,-0.031,-0.247,0.002,535.448,336.520
101578.235,303.934,1.164,0.713,0.296,0.488,-1.945,-1.895,0.963,1.568,0.324,-2.179,-1.495,-1.391,-0.893,-0.208,2.324,-2.973,1.989,0.523,-0.104,-1.126,-6.972,-0.012,-0.247,0.002,535.448,336.520
101574.204,303.939,1.164,0.487,0.138,0.488,-2.054,-1.226,1.070,1.882,0.108,-1.453,-1.388,-1.712,-0.446,-1.042,1.690,-2.018,2.094,0.419,0.208,-0.563,-6.983,-0.050,-0.247,0.002,535.448,336.520
101574.204,303.937,1.164,0.714,0.296,0.488,-2.810,-1.449,0.749,1.045,-0.216,-1.972,-1.708,-2.247,-0.670,0.209,1.373,-2.230,2.094,0.314,0.415,-0.113,-6.983,-0.012,-0.226,0.001,535.448,336.520
101574.204,303.932,1.164,0.611,0.217,0.488,-1.729,-2.006,1.070,1.777,0.433,-2.075,-2.136,-1.712,-0.446,-0.313,1.268,-2.761,2.303,0.523,0.000,-0.788,-6.993,-0.012,-0.247,0.001,535.448,336.520
101574.204,303.936,1.164,0.487,0.138,0.488,-2.702,-0.892,0.856,1.568,0.433,-2.802,-1.495,-1.498,-0.000,-0.417,1.268,-2.548,1.780,0.628,0.104,-0.450,-6.983,-0.031,-0.226,0.002,535.448,336.520
101574.204,303.937,1.164,0.487,0.138,0.488,-2.162,-0.780,1.070,1.150,-0.108,-1.349,-1.815,-2.033,-0.670,-0.208,1.584,-2.336,2.408,-0.313,0.311,-0.450,-7.004,-0.012,-0.226,0.001,535.448,336.520
101574.204,303.936,1.164,0.487,0.138,0.488,-2.702,-1.337,0.856,1.777,-0.540,-1.660,-1.388,-2.033,-0.112,-0.208,2.218,-2.336,1.989,1.047,-0.726,-0.563,-7.004,0.007,-0.257,0.001,535.448,336.520
101574.204,303.934,1.164,0.714,0.296,0.168,-2.594,-1.895,0.642,1.568,0.433,-1.557,-2.349,-1.391,-0.893,0.000,1.690,-2.336,2.513,0.733,0.623,-1.351,-6.983,0.007,-0.247,0.001,535.448,336.520
101566.141,303.932,1.164,0.487,0.138,0.008,-2.378,-1.003,0.642,1.986,-0.108,-1.453,-1.922,-1.819,-0.781,-0.938,1.584,-2.442,2.094,0.209,0.415,-1.013,-6.983,0.007,-0.237,0.001,535.448,336.520
101566.141,303.934,1.164,0.714,0.296,0.168,-2.378,-2.006,0.856,0.627,-0.000,-2.075,-1.708,-2.247,-1.116,0.104,1.056,-2.336,1.885,0.314,0.208,-0.788,-7.004,-0.012,-0.237,0.002,535.448,336.520
101574.204,303.931,1.164,0.611,0.217,0.328,-1.405,-2.229,0.535,1.150,0.541,-1.972,-1.708,-1.605,-0.223,-0.417,2.007,-3.398,1.990,0.837,0.623,-0.563,-6.993,0.007,-0.226,0.002,535.448,336.520
101574.204,303.932,1.164,0.000,-0.178,0.328,-2.594,-1.337,-0.000,1.568,0.324,-2.387,-1.388,-1.605,0.112,-0.834,1.690,-1.593,1.152,0.733,0.311,-1.013,-6.983,0.007,-0.247,0.001,535.448,336.520
101582.267,303.936,1.164,0.487,0.138,-0.152,-2.270,-1.337,1.284,0.941,0.324,-1.245,-2.242,-1.605,-0.000,0.104,1.479,-2.230,2.409,-0.418,0.104,-0.338,-6.993,0.007,-0.267,0.001,535.448,336.520
101570.173,303.934,1.164,0.487,0.138,0.328,-3.134,-1.449,0.856,1.882,0.541,-1.660,-1.602,-2.354,-0.446,-0.521,1.796,-2.124,2.094,0.733,0.104,-0.450,-7.004,0.007,-0.237,0.001,535.448,336.520
101578.235,303.934,1.164,0.611,0.217,0.168,-2.594,-1.560,0.856,1.359,0.649,-1.764,-1.602,-1.819,-1.116,-0.104,1.056,-2.655,1.466,0.733,0.311,-1.463,-6.993,0.007,-0.237,0.002,535.448,336.520
101570.173,303.932,1.164,0.611,0.217,0.328,-2.918,-1.337,0.214,1.673,0.216,-1.764,-1.708,-1.712,0.335,-1.042,1.584,-2.442,1.885,0.733,0.311,-0.225,-6.972,0.007,-0.257,0.001,535.448,336.520
101574.204,303.932,1.164,0.611,0.217,0.488,-2.594,-1.337,1.177,0.941,0.541,-1.764,-1.495,-2.247,-0.558,-0.208,1.373,-2.548,1.780,0.523,0.519,-0.788,-7.004,-0.012,-0.247,0.002,535.448,336.520
101566.141,303.932,1.164,0.487,0.138,0.168,-2.594,-1.115,1.177,1.255,0.216,-1.868,-2.669,-1.819,0.112,-0.313,1.901,-2.230,2.409,0.209,0.311,-0.450,-4.984,0.007,-0.186,0.001,535.448,336.520
101570.173,303.928,1.164,0.319,0.059,0.488,-3.242,-1.560,1.177,1.777,0.108,-1.764,-1.602,-2.675,-0.558,-0.313,1.479,-2.336,1.990,0.523,0.208,-0.788,-5.004,0.027,-0.196,0.001,535.448,336.520
