%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
99610.886,302.365,1.148,0.362,0.075,-0.208,-3.567,-2.229,-0.214,0.627,-0.864,-2.906,-2.456,-3.210,-1.228,-1.042,0.528,-4.247,0.838,-0.627,-1.555,-1.688,-7.967,0.343,-0.545,0.003,535.448,336.520
99602.823,302.363,1.148,0.000,-0.083,-0.208,-3.567,-3.121,-0.962,0.314,-0.108,-3.632,-2.776,-2.889,-1.786,-1.876,0.211,-3.398,0.419,-0.731,-1.036,-2.364,-8.009,0.343,-0.545,0.002,535.448,336.520
99602.823,302.362,1.148,0.000,-0.162,-0.528,-3.459,-2.786,-0.321,0.105,-0.432,-2.491,-3.737,-2.568,-1.116,-1.459,0.106,-3.398,1.047,-1.149,-1.658,-1.688,-7.978,0.362,-0.545,0.002,535.448,336.520
99602.823,302.365,1.148,0.000,-0.083,-0.368,-4.107,-3.121,-0.428,0.105,-0.972,-3.113,-2.563,-3.531,-1.675,-1.250,0.317,-3.504,1.047,-0.627,-1.036,-1.576,-8.040,0.324,-0.555,0.002,535.448,336.520
99594.761,302.362,1.147,0.000,-0.083,-0.528,-3.567,-3.901,-0.214,0.523,-0.540,-3.424,-3.417,-2.782,-2.009,-1.355,0.634,-3.716,1.257,-0.836,-0.622,-2.026,-7.998,0.343,-0.545,0.002,535.448,336.520
99594.761,302.360,1.148,0.000,-0.320,-0.528,-3.459,-2.563,-0.962,0.732,-0.648,-2.906,-2.349,-2.568,-0.781,-1.980,0.423,-3.504,0.838,-0.522,-0.829,-1.576,-7.988,0.324,-0.535,0.003,535.448,336.520
99606.855,302.363,1.148,0.000,-0.241,-0.208,-3.891,-2.675,-0.534,0.105,-0.432,-2.698,-3.203,-2.461,-1.340,-0.417,0.211,-3.610,0.942,-0.940,-1.036,-1.463,-8.009,0.343,-0.525,0.003,535.448,336.520
99594.761,302.363,1.147,0.000,-0.162,-0.368,-3.891,-2.229,-0.107,0.732,-1.187,-2.283,-2.563,-2.675,-1.340,-1.042,1.373,-3.610,1.361,-0.522,-1.347,-1.801,-7.967,0.343,-0.555,0.002,535.448,336.520
99610.886,302.360,1.148,0.000,-0.241,-0.208,-3.242,-2.118,-0.428,0.941,0.000,-3.217,-2.563,-2.568,-1.786,-1.042,1.268,-2.973,0.942,-0.940,-0.933,-2.364,-7.936,0.304,-0.555,0.002,535.448,336.520
99610.886,302.367,1.148,0.000,-0.004,0.112,-3.567,-2.341,-0.534,0.941,-0.432,-2.387,-3.097,-2.354,-0.558,-1.771,1.162,-3.716,1.675,-0.731,-0.726,-1.238,-7.946,0.324,-0.555,0.003,535.448,336.520
99602.823,302.363,1.148,0.000,-0.004,-0.048,-4.323,-2.675,-0.428,0.314,0.108,-2.594,-2.456,-3.103,-1.339,-1.459,0.634,-3.823,1.047,-0.627,-0.829,-1.576,-7.957,0.324,-0.575,0.003,535.448,336.520
99602.823,302.362,1.148,0.000,-0.241,-0.048,-3.242,-3.455,-0.321,0.418,-0.540,-2.698,-2.242,-2.461,-1.563,-1.042,0.740,-4.354,1.257,-0.940,-0.726,-1.576,-7.936,0.324,-0.565,0.002,535.448,336.520
