%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101957.192,302.502,1.174,0.307,0.055,0.480,-1.729,-1.226,1.070,1.464,0.108,-1.245,-1.922,-1.712,0.335,-0.208,1.796,-2.655,2.199,-0.209,-0.518,-0.563,-8.022,0.208,-0.565,0.002,535.448,336.520
101945.098,302.499,1.174,0.000,-0.103,0.320,-2.594,-1.226,1.499,2.195,0.216,-1.557,-0.854,-2.461,-0.335,0.209,1.584,-2.442,1.990,0.419,-0.207,0.000,-8.054,0.170,-0.575,0.002,535.448,336.520
101965.255,302.500,1.174,0.000,-0.024,0.160,-2.053,-2.452,1.070,1.359,0.433,-1.660,-1.388,-1.284,-0.893,-0.208,2.218,-2.655,2.094,0.419,1.038,-0.338,-8.033,0.189,-0.555,0.002,535.448,336.520
101941.067,302.500,1.174,0.000,-0.024,0.320,-2.269,-0.892,0.535,1.673,0.433,-1.972,-1.602,-1.712,-0.000,-0.833,2.113,-1.911,1.780,0.209,0.104,0.451,-8.043,0.208,-0.565,0.002,535.448,336.520
101949.130,302.494,1.174,0.307,0.055,0.320,-2.486,-0.780,1.499,1.359,0.433,-1.453,-1.281,-0.963,-0.447,0.313,1.479,-1.699,2.513,0.837,0.831,0.000,-8.054,0.189,-0.555,0.002,535.448,336.520
101945.098,302.494,1.174,0.000,-0.182,0.320,-1.729,-1.449,0.749,2.613,0.108,-1.557,-1.602,-1.284,-0.223,0.104,2.007,-2.548,2.409,1.047,0.104,0.451,-8.074,0.189,-0.555,0.002,535.448,336.520
101937.035,302.496,1.174,0.000,-0.103,0.160,-1.945,-0.892,0.749,1.568,0.757,-1.660,-0.534,-1.177,0.559,-0.000,1.901,-1.380,2.409,0.628,0.623,-0.788,-8.064,0.208,-0.565,0.003,535.448,336.520
101945.098,302.499,1.174,0.000,-0.340,0.320,-1.513,-0.669,1.284,1.359,0.325,-0.623,-1.602,-1.498,0.559,0.418,1.690,-1.380,3.037,0.523,0.831,0.113,-8.054,0.189,-0.555,0.002,535.448,336.520
101941.067,302.502,1.174,0.603,0.213,0.320,-2.377,-1.003,1.713,1.882,0.325,-1.245,-1.175,-2.568,0.112,0.104,1.796,-2.230,2.513,1.361,0.000,-0.113,-8.054,0.189,-0.555,0.002,535.448,336.520
101953.161,302.499,1.174,0.000,-0.024,0.320,-2.053,-2.006,0.963,1.986,0.757,-1.453,-0.854,-1.391,-0.558,-0.104,2.746,-2.548,2.723,0.837,0.208,-0.338,-8.043,0.208,-0.565,0.002,535.448,336.520
