%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100449.428,303.544,1.153,0.000,-0.087,-0.288,-2.810,-1.226,0.963,1.255,0.649,-1.453,-1.602,-1.926,0.000,-0.417,2.218,-2.124,2.094,0.837,0.104,-0.450,-6.995,-0.023,-0.423,0.002,535.448,336.520
100453.460,303.542,1.153,0.000,-0.008,-0.288,-2.918,-1.783,0.856,1.464,0.324,-1.557,-1.708,-1.926,-0.223,0.104,0.951,-2.442,2.303,0.733,0.727,-0.450,-6.995,-0.043,-0.433,0.001,535.448,336.520
100445.397,303.541,1.153,0.510,0.150,-0.288,-2.162,-2.118,0.749,1.046,-0.000,-1.660,-1.388,-1.605,-1.451,-0.104,1.690,-2.761,2.094,0.628,0.519,-0.113,-6.985,0.034,-0.423,0.002,535.448,336.520
100449.428,303.541,1.153,0.000,-0.087,-0.288,-2.054,-1.449,0.321,1.673,0.108,-1.972,-1.175,-1.712,-0.223,-0.729,1.690,-1.699,1.675,0.209,0.000,-0.450,-6.995,0.015,-0.423,0.002,535.448,336.520
100453.460,303.541,1.153,0.000,-0.166,-0.448,-2.378,-1.115,1.284,1.150,0.324,-1.660,-1.495,-1.391,0.559,-0.104,1.901,-2.442,2.408,-0.209,0.727,0.113,-6.985,-0.004,-0.433,0.002,535.448,336.520
100449.428,303.537,1.153,0.000,-0.087,-0.448,-2.378,-2.006,0.214,2.195,-0.324,-2.075,-1.281,-1.605,-0.112,-0.104,2.218,-2.442,2.408,0.523,0.104,-0.113,-7.006,-0.004,-0.423,0.002,535.448,336.520
100437.334,303.544,1.153,0.000,-0.166,-0.288,-2.054,-1.226,0.321,1.986,0.757,-2.387,-1.175,-1.712,-0.446,-0.104,1.901,-1.911,1.989,0.314,0.000,-1.576,-6.995,0.034,-0.433,0.002,535.448,336.520
100441.365,303.541,1.153,0.000,-0.245,-0.128,-2.594,-1.449,0.963,1.464,0.541,-1.245,-1.388,-1.819,-0.223,-0.625,2.113,-2.018,2.303,0.523,0.519,-0.338,-6.985,0.015,-0.423,0.002,535.448,336.520
100449.428,303.542,1.153,0.000,-0.245,0.032,-3.459,-1.783,0.321,1.777,1.081,-1.245,-0.961,-2.354,-0.335,-0.208,1.268,-2.336,1.989,0.942,0.415,-0.675,-7.006,0.034,-0.443,0.002,535.448,336.520
100453.460,303.542,1.153,0.000,-0.166,0.032,-2.918,-2.563,0.642,1.464,-0.108,-1.764,-1.388,-1.177,-0.558,-0.417,2.430,-2.655,2.303,1.047,0.519,0.113,-6.985,0.034,-0.423,0.002,535.448,336.520
100453.460,303.542,1.153,0.000,-0.087,0.192,-2.486,-0.669,0.107,1.986,0.865,-1.972,-1.495,-1.605,0.000,-0.833,2.324,-2.018,2.094,0.837,0.623,0.000,-6.995,0.015,-0.423,0.002,535.448,336.520
