%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100945.297,303.624,1.158,0.165,0.016,-0.016,-2.594,-1.003,1.606,0.836,0.649,-1.972,-1.815,-2.033,-0.558,0.104,1.162,-2.336,2.513,0,0.519,-0.338,-8.049,-0.034,-0.274,-0.001,535.448,336.52
100949.328,303.623,1.158,0,-0.142,-0.176,-1.73,-2.006,1.07,1.359,-0.432,-1.557,-1.602,-1.391,-0.558,0.104,2.007,-2.655,2.304,0.942,0,-1.013,-8.039,0.005,-0.294,0,535.448,336.52
100941.266,303.629,1.158,0,-0.379,-0.016,-2.594,-1.226,0.963,2.3,1.081,-2.698,-1.281,-1.391,-0.447,0.209,2.113,-2.124,2.513,0.733,0.727,-0.788,-8.018,-0.014,-0.294,-0.001,535.448,336.52
100941.266,303.628,1.158,0,-0.063,-0.016,-2.054,-1.449,1.07,1.777,0.324,-1.349,-2.136,-1.819,-0.558,-0.521,2.219,-2.124,2.618,0.419,0.415,0,-8.049,0.024,-0.305,0.001,535.448,336.52
100949.328,303.628,1.158,0.548,0.174,0.304,-2.702,-1.449,1.499,1.464,0.324,-1.66,-1.175,-2.033,-0.223,0.104,1.796,-1.805,2.618,1.361,0.727,-0.338,-8.028,0.024,-0.284,0,535.448,336.52
100937.234,303.629,1.158,0.165,0.016,0.144,-1.838,-2.006,0.535,2.091,0.108,-1.66,-1.388,-1.284,-1.116,0.313,2.219,-2.867,2.723,0.419,0.623,-0.338,-8.028,0.005,-0.274,0,535.448,336.52
100949.328,303.631,1.158,0,-0.063,-0.016,-1.946,-1.003,0,1.777,0.649,-1.868,-1.388,-1.284,0.783,-0.208,2.43,-1.274,2.094,1.151,0.727,-0.113,-8.018,-0.014,-0.294,0,535.448,336.52
100949.328,303.629,1.158,0.548,0.174,0.304,-1.946,-0.892,1.713,0.941,0.757,-1.66,-1.602,-1.712,-0.112,0,1.69,-2.443,2.827,0.314,0.415,-0.225,-8.039,0.005,-0.284,0,535.448,336.52
100945.297,303.631,1.158,0.548,0.174,-0.016,-2.054,-1.449,1.499,1.987,0,-1.868,-1.602,-2.14,0,-0.104,2.43,-2.23,2.304,1.465,0.104,-0.338,-8.039,0.005,-0.294,0,535.448,336.52
100941.266,303.631,1.158,0,-0.063,0.144,-2.162,-1.226,0.963,1.568,0.973,-2.283,-1.281,-1.284,-0.67,0,1.902,-1.912,2.513,0.523,0.934,-0.788,-8.049,-0.014,-0.284,0,535.448,336.52
