%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],,,,,,
101731.431,302.236,1.173,0,-0.075,0,-1.729,-1.449,0.856,1.882,1.081,-2.698,-1.602,-1.391,-0.447,0.209,2.007,-2.124,2.303,0.837,0.623,-0.675,0.031,-0.044,-0.014,0.001,535.448,336.52,,,,,,
101739.494,302.234,1.173,0,-0.075,0.16,-2.054,-0.892,0.856,1.15,0.757,-1.245,-1.388,-1.391,0.112,-0.521,2.324,-2.018,2.722,0.523,0.104,0.113,0.031,-0.063,-0.035,0,535.448,336.52,,,,,,
101743.525,302.234,1.173,0,-0.233,-0.16,-2.378,-1.449,0.963,1.568,0.541,-1.245,-1.495,-2.14,-0.335,0.209,1.796,-1.699,2.827,0.733,0.519,-0.45,0.021,-0.044,-0.025,0.001,535.448,336.52,,,,,,
101747.557,302.236,1.173,0,-0.075,0,-2.162,-1.895,1.07,1.777,0.108,-1.453,-1.495,-1.498,-0.558,-0.313,2.007,-2.974,2.513,1.151,0.312,-0.113,0.021,-0.044,-0.025,0,535.448,336.52,,,,,,
101743.525,302.236,1.173,0,-0.154,-0.16,-1.837,-1.226,0.107,1.777,0.541,-1.972,-1.922,-1.926,0.112,-0.625,1.902,-1.805,2.199,1.151,0.519,-0.563,-0.021,-0.044,-0.014,0,535.448,336.52,,,,,,
101747.557,302.233,1.173,0,-0.154,-0.16,-2.162,-0.78,1.07,1.464,0.324,-1.764,-2.242,-1.498,0.224,-0.104,1.902,-2.549,2.827,-0.104,0.519,-0.225,0,-0.025,-0.025,0.001,535.448,336.52,,,,,,
101747.557,302.238,1.173,0,-0.075,-0.32,-2.81,-1.449,1.177,2.091,0.324,-1.764,-1.495,-2.675,-0.223,0.313,1.585,-2.124,1.78,0.314,-0.311,-0.338,0,-0.044,-0.004,0.001,535.448,336.52,,,,,,
101747.557,302.236,1.173,0,-0.312,0,-2.054,-1.895,1.07,1.777,0.433,-1.349,-1.495,-1.712,-1.005,-0.104,2.007,-2.761,2.408,1.256,0.415,-0.901,0.01,-0.025,-0.004,0.001,535.448,336.52,,,,,,
101747.557,302.238,1.173,0,-0.233,0,-2.486,-0.892,-0.428,1.464,0.433,-1.453,-1.815,-1.819,0.224,-0.729,1.796,-2.018,2.094,0.419,0.208,-0.45,0.01,-0.025,-0.014,0.001,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.075,0,-2.594,-1.003,1.284,0.836,0.324,-1.245,-1.388,-1.712,0,0,1.373,-2.336,2.094,0,0,-0.675,0,-0.044,-0.025,0,535.448,336.52,,,,,,
101767.714,302.239,1.173,0.082,0.004,0.16,-2.378,-1.895,0.642,1.987,0.324,-1.661,-1.388,-1.926,0.336,-0.417,2.219,-2.655,2.199,1.047,-0.104,0.226,0.021,-0.025,-0.025,0,535.448,336.52,,,,,,
101763.683,302.244,1.173,0.082,0.004,0.16,-1.729,-1.226,0.535,0.941,0.865,-2.076,-1.495,-1.284,-0.558,-0.834,1.796,-1.699,1.989,1.151,0.623,-0.788,0.042,-0.044,-0.014,0.001,535.448,336.52,,,,,,
101759.651,302.236,1.173,0,-0.075,0.16,-2.486,-1.337,1.391,1.568,0.649,-1.453,-0.854,-2.033,0.112,0,1.479,-1.805,2.722,0.733,0.104,0,1.062,-0.025,0.047,0.001,535.448,336.52,,,,,,
101751.588,302.236,1.173,0,-0.075,0,-1.189,-1.895,0.963,1.568,0.433,-1.349,-0.854,-1.07,-0.446,0,2.641,-2.549,2.408,0.733,0.831,-0.113,1.072,-0.083,0.057,0.001,535.448,336.52,,,,,,
101759.651,302.239,1.173,0,-0.075,-0.16,-1.837,-1.115,0.749,1.882,0.757,-1.764,-0.747,-1.605,0.112,-0.313,1.69,-1.593,1.78,0.314,0.831,-0.563,1.062,-0.025,0.047,0.001,535.448,336.52,,,,,,
101759.651,302.239,1.173,0.082,0.004,0,-1.945,-1.226,1.392,1.15,0.649,-1.557,-1.815,-1.498,0.559,0.313,2.113,-2.336,3.036,0.105,1.038,0.338,1.072,-0.063,0.047,0.001,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.233,0,-2.054,-1.337,1.177,2.196,0.108,-1.661,-1.495,-2.033,-0.223,0,1.902,-1.593,2.513,0.942,-0.104,-0.338,1.083,-0.063,0.047,0.001,535.448,336.52,,,,,,
101751.588,302.238,1.173,0.082,0.004,0,-1.945,-1.337,0.963,1.882,1.081,-1.453,-1.602,-1.712,-1.451,-0.208,1.902,-2.443,2.513,0.523,0.519,-1.126,1.104,-0.063,0.047,0.001,535.448,336.52,,,,,,
101751.588,302.236,1.173,0,-0.075,-0.16,-2.486,-0.892,0.749,1.673,0.324,-1.453,-1.815,-1.605,0.112,-0.938,2.43,-1.912,2.303,0.628,0.519,-0.225,1.104,-0.025,0.036,0.001,535.448,336.52,,,,,,
101747.557,302.233,1.173,0,-0.233,-0.16,-2.378,-1.226,0.963,0.941,0.541,-0.83,-1.815,-1.605,-0.446,0,1.057,-2.336,2.199,0.733,0.519,-0.45,1.041,-0.063,0.057,0.001,535.448,336.52,,,,,,
101731.431,302.238,1.173,0,-0.075,0,-1.945,-1.56,0.535,1.777,-0.108,-1.142,-1.175,-1.605,-0.223,0,2.007,-2.761,2.617,1.047,-0.207,0,1.052,-0.044,0.047,0.002,535.448,336.52,,,,,,
101755.62,302.236,1.173,0,-0.154,-0.32,-1.621,-0.446,1.177,1.673,0.433,-1.972,-1.068,-1.498,0,-0.104,2.113,-2.23,2.513,0.523,0.415,-1.013,1.062,-0.063,0.036,0.001,535.448,336.52,,,,,,
101755.62,302.238,1.173,0,-0.233,-0.32,-2.27,-0.669,1.177,1.673,0.433,-1.557,-1.708,-1.498,0.447,0.104,1.902,-2.124,2.722,0.314,0.831,0.564,1.052,-0.025,0.057,0.001,535.448,336.52,,,,,,
101755.62,302.239,1.173,0,-0.075,0,-2.702,-1.226,1.07,2.091,0.757,-1.453,-1.175,-2.033,0.447,0.418,2.219,-1.699,2.408,1.047,0.415,-0.563,1.052,-0.044,0.057,0,535.448,336.52,,,,,,
101755.62,302.236,1.173,0.526,0.162,-0.32,-2.162,-2.118,1.284,1.673,0.865,-1.453,-1.175,-0.856,0,-0.417,2.007,-2.761,2.408,1.151,0.831,-0.901,1.072,-0.063,0.036,0.001,535.448,336.52,,,,,,
101759.651,302.236,1.173,0.376,0.083,0,-1.729,-0.78,0.856,1.987,0.108,-0.934,-0.961,-1.605,0.447,-0.625,1.902,-1.912,2.932,0.523,0.104,0.451,1.104,-0.044,0.047,0.001,535.448,336.52,,,,,,
101759.651,302.238,1.173,0.082,0.004,-0.48,-2.054,-1.226,1.392,1.15,0.541,-1.349,-1.175,-1.926,0.112,0.626,1.373,-1.805,2.408,0.733,0.934,0.338,1.104,-0.083,0.067,0.001,535.448,336.52,,,,,,
101767.714,302.234,1.173,0.082,0.004,-0.48,-1.729,-1.226,1.07,2.3,-0.216,-1.245,-1.281,-1.819,0,0.418,2.219,-2.018,2.513,1.256,0.311,0,1.062,-0.063,0.057,0.001,535.448,336.52,,,,,,
101767.714,302.238,1.173,0.082,0.004,-0.48,-1.729,-0.78,1.177,1.673,0.973,-1.661,-1.602,-1.391,0.112,0.209,2.324,-1.593,2.827,0.523,0.727,-0.338,1.052,-0.063,0.057,0.002,535.448,336.52,,,,,,
101755.62,302.239,1.173,0,-0.075,-0.64,-2.27,-1.003,1.07,1.673,0.973,-1.453,-2.136,-1.926,0.336,0,2.324,-1.699,2.617,0.523,0.519,0.113,1.072,-0.083,0.047,0,535.448,336.52,,,,,,
101755.62,302.239,1.173,0,-0.233,-0.32,-2.702,-1.003,0.856,1.777,0.865,-1.245,-0.854,-1.605,-0.112,0.418,2.324,-1.912,2.408,1.047,0.623,0.113,1.062,-0.083,0.047,0.001,535.448,336.52,,,,,,
101755.62,302.238,1.173,0,-0.154,-0.48,-1.945,-1.895,1.07,1.673,0.649,-1.245,-1.175,-1.177,-0.447,0.418,2.324,-2.549,2.722,0.733,0.519,0,1.052,-0.044,0.057,0.001,535.448,336.52,,,,,,
101751.588,302.234,1.173,0,-0.154,0.16,-1.513,-1.672,1.391,1.777,0.324,-2.076,-1.388,-1.605,-0.67,0.104,2.007,-1.805,2.932,0.942,0.727,0,3.04,-0.083,0.189,0,535.448,336.52,,,,,,
101747.557,302.238,1.173,0,-0.154,0.16,-2.054,-0.78,0.963,1.987,0.216,-1.349,-1.495,-1.605,0.336,-0.104,1.902,-1.912,2.513,0.628,0.519,0.338,3.061,-0.063,0.199,0.001,535.448,336.52,,,,,,
101747.557,302.238,1.173,0,-0.312,0,-1.945,-0.78,1.392,1.568,0.541,-1.142,-1.175,-1.391,-0.112,0.522,1.373,-1.912,2.617,0.523,0.519,-0.225,3.072,-0.044,0.209,0.001,535.448,336.52,,,,,,
101751.588,302.239,1.173,0.376,0.083,0,-1.513,-1.337,1.499,2.196,0.108,-0.727,-0.641,-1.712,0,0.626,2.219,-2.549,2.722,1.256,0.208,0,3.051,-0.083,0.199,0.001,535.448,336.52,,,,,,
101751.588,302.239,1.173,0,-0.154,0.32,-2.054,-1.115,1.07,2.3,1.73,-1.764,-1.068,-1.391,0,0.209,2.43,-1.487,2.513,0.628,0.831,-0.675,3.061,-0.063,0.189,0.001,535.448,336.52,,,,,,
101759.651,302.238,1.173,0,-0.075,0,-1.405,-0.892,1.499,1.987,0.757,-1.038,-1.708,-1.177,0.783,0,2.219,-1.699,2.932,0.733,0.623,0.226,3.113,-0.044,0.199,0,535.448,336.52,,,,,,
101751.588,302.242,1.173,0.376,0.083,0,-2.486,-0.892,1.392,1.882,0.541,-1.557,-1.068,-2.14,0,0.313,1.902,-1.805,2.408,1.151,0,-0.45,3.061,-0.063,0.199,0,535.448,336.52,,,,,,
101759.651,302.241,1.173,0,-0.154,0.16,-1.621,-1.672,1.177,1.987,1.19,-1.349,-1.068,-1.177,-0.781,-0.104,1.585,-2.336,2.827,0.942,0.727,0,3.092,-0.083,0.189,-0.002,535.448,336.52,,,,,,
101755.62,302.234,1.173,0,-0.154,-0.16,-1.729,-1.115,0.428,1.464,0.541,-1.349,-1.495,-1.605,0.336,-1.042,2.113,-2.23,1.78,0.523,0.208,0.226,3.072,-0.025,0.199,0,535.448,336.52,,,,,,
101755.62,302.239,1.173,0,-0.312,-0.16,-2.486,-1.449,1.177,0.941,0.757,-1.453,-0.961,-1.712,-0.112,0.522,1.69,-1.912,2.513,0.419,0.311,0.564,3.072,-0.025,0.199,0.001,535.448,336.52,,,,,,
101763.683,302.238,1.173,0,-0.391,0,-1.405,-1.449,1.284,2.196,-0.216,-1.453,-0.854,-2.14,0.112,0.209,2.324,-2.655,2.094,0,-0.726,-0.45,3.061,-0.063,0.189,0.001,535.448,336.52,,,,,,
101751.588,302.236,1.173,0,-0.233,-0.32,-2.27,-1.672,1.07,1.987,0.649,-1.868,-1.495,-1.284,-0.335,-0.313,1.902,-2.655,2.199,1.151,0.519,-0.675,3.072,-0.063,0.199,0.001,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.391,-0.16,-2.162,-1.003,0.642,1.359,-0.108,-1.661,-1.922,-1.819,0.224,-1.042,1.796,-2.124,1.989,0.523,0.311,-0.45,3.051,-0.063,0.189,0,535.448,336.52,,,,,,
101743.525,302.241,1.173,0,-0.233,-0.32,-3.134,-2.118,1.177,1.046,0,-1.453,-1.281,-2.461,-0.223,0.313,1.373,-2.336,2.094,1.047,0.519,-0.113,3.04,-0.063,0.179,0,535.448,336.52,,,,,,
101751.588,302.234,1.173,0,-0.233,-0.48,-1.837,-2.452,0.642,1.15,0,-1.868,-1.815,-2.14,-0.558,-0.208,2.43,-2.761,2.094,0.942,0.104,0.226,3.061,-0.083,0.199,0.001,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.312,0,-2.378,-1.115,0.214,2.091,0.324,-2.076,-1.495,-2.14,0.112,-0.313,1.479,-2.336,2.094,0.733,0.519,0,3.072,-0.063,0.189,-0.001,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.312,-0.16,-2.054,-0.78,1.284,1.568,0.108,-1.453,-1.922,-1.819,-0.112,0.104,1.902,-2.23,2.827,-0.104,0.208,-0.901,3.082,-0.044,0.199,0,535.448,336.52,,,,,,
101759.651,302.242,1.173,0.526,0.162,-0.16,-2.486,-1.672,1.284,2.091,0.216,-1.868,-1.281,-2.675,0,-0.313,1.585,-2.23,2.303,1.151,-0.311,-0.45,3.082,-0.063,0.189,0,535.448,336.52,,,,,,
101755.62,302.244,1.173,0,-0.154,-0.32,-1.837,-1.895,0.963,1.568,0.433,-1.868,-1.708,-1.284,-1.228,-0.208,1.479,-2.443,1.989,0.628,0.831,-1.126,3.092,-0.063,0.199,0.001,535.448,336.52,,,,,,
101759.651,302.238,1.173,0.082,0.004,-0.32,-2.702,-1.003,-0.428,1.673,0.324,-1.661,-1.068,-1.605,0.671,-1.146,2.219,-2.655,1.989,0.419,0,0,3.092,-0.044,0.189,0,535.448,336.52,,,,,,
101767.714,302.239,1.173,0.082,0.004,0,-2.27,-1.115,1.606,1.673,0.433,-1.557,-1.602,-1.712,0,-0.313,1.902,-1.699,2.827,0.209,0.519,0.113,5.102,-0.025,0.311,0.001,535.448,336.52,,,,,,
101771.745,302.247,1.173,0.376,0.083,-0.16,-2.594,-1.337,1.606,2.3,0.649,-1.453,-0.961,-1.926,0,0.418,1.902,-1.699,2.408,1.256,-0.207,-0.338,5.091,-0.044,0.321,0.001,535.448,336.52,,,,,,
101759.651,302.247,1.173,0.526,0.162,-0.32,-1.837,-2.118,1.177,1.464,0.649,-1.349,-0.854,-1.391,-0.781,0.209,2.007,-2.018,2.827,0.837,0.831,-0.45,5.102,-0.063,0.321,0.001,535.448,336.52,,,,,,
101755.62,302.249,1.173,0.082,0.004,-0.48,-2.054,-0.892,0.642,2.091,0.865,-1.557,-1.602,-1.498,0.783,-0.208,2.324,-1.912,2.408,0.733,0.831,-0.225,5.102,-0.044,0.321,0.001,535.448,336.52,,,,,,
101751.588,302.244,1.173,0.082,0.004,-0.32,-1.729,-0.446,1.713,1.673,0.865,-1.038,-1.175,-1.177,-0.223,-0.208,1.69,-1.912,2.408,0.523,0.934,-0.113,5.091,-0.044,0.311,0.001,535.448,336.52,,,,,,
101751.588,302.236,1.173,0.082,0.004,-0.32,-1.405,-1.449,0.642,2.196,0,-1.038,-0.854,-1.605,-0.112,0.313,2.43,-1.912,2.408,1.57,0.208,-0.563,5.081,-0.063,0.321,0,535.448,336.52,,,,,,
101767.714,302.242,1.173,0,-0.075,-0.48,-2.162,-1.337,1.07,1.777,0.973,-2.283,-0.641,-1.177,-0.335,-0.313,2.43,-1.805,2.408,0.628,0.623,-0.563,5.081,-0.044,0.321,0.001,535.448,336.52,,,,,,
101743.525,302.239,1.173,0.082,0.004,-0.48,-1.837,-0.78,1.499,1.987,0.433,-1.038,-1.495,-1.177,0,-0.104,2.324,-1.699,2.932,0.523,0.208,-0.45,5.091,-0.063,0.3,0,535.448,336.52,,,,,,
101759.651,302.241,1.173,0,-0.075,-0.16,-1.945,-0.669,1.392,2.3,0.865,-1.557,-0.427,-2.247,-0.223,0,1.585,-1.912,2.617,1.151,0.415,-0.563,5.112,-0.044,0.331,0,535.448,336.52,,,,,,
101755.62,302.244,1.173,0.082,0.004,-0.64,-1.837,-1.115,0.642,1.673,0.541,-1.349,-1.281,-1.391,-0.558,-0.313,2.324,-2.124,2.303,1.047,0.831,0.226,5.102,-0.063,0.311,0.001,535.448,336.52,,,,,,
101759.651,302.244,1.173,0.376,0.083,-0.48,-1.837,-0.892,-0.321,2.614,0.649,-1.245,-0.747,-1.498,0.671,-0.417,2.007,-2.018,2.408,0.942,0.831,0.226,5.102,-0.025,0.331,0,535.448,336.52,,,,,,
101755.62,302.247,1.173,0.526,0.162,-0.16,-2.378,-1.226,1.82,1.359,0.973,-0.83,-1.175,-1.391,-0.112,0.731,1.585,-2.124,2.722,0.419,0.519,-0.225,5.102,-0.025,0.3,0.001,535.448,336.52,,,,,,
101759.651,302.242,1.173,0.376,0.083,-0.16,-2.054,-0.78,1.177,2.196,0.324,-0.934,-0.854,-1.712,0.447,0.313,2.007,-2.018,2.617,0.523,0,0.113,5.091,-0.025,0.331,0,535.448,336.52,,,,,,
101751.588,302.246,1.173,0.082,0.004,-0.32,-1.729,-0.669,1.284,1.777,0.865,-2.18,-1.068,-1.177,-0.112,-0.208,2.324,-1.593,2.303,0.837,0.415,-0.675,5.112,-0.025,0.321,0,535.448,336.52,,,,,,
101755.62,302.241,1.173,0,-0.075,-0.48,-1.837,-0.892,1.392,1.882,0.541,-1.349,-1.922,-1.926,0.224,-0.938,2.007,-2.018,2.408,0.419,0.415,0,5.081,-0.063,0.321,0,535.448,336.52,,,,,,
101755.62,302.244,1.173,0.082,0.004,-0.32,-2.27,-1.337,1.07,1.882,0.216,-1.142,-0.854,-2.247,-0.223,0.313,1.585,-2.018,2.722,0.523,0,0,5.091,-0.044,0.321,0.001,535.448,336.52,,,,,,
101747.557,302.241,1.173,0,-0.312,-0.32,-2.162,-2.118,0.535,2.091,0.108,-1.661,-1.068,-1.284,-0.781,0.313,2.113,-2.867,3.036,0.942,0.415,-0.675,5.071,-0.063,0.321,0.001,535.448,336.52,,,,,,
101755.62,302.241,1.173,0,-0.154,-0.32,-2.486,-0.78,0.321,1.882,0.216,-2.076,-1.388,-1.712,-0.335,-0.938,1.796,-1.699,1.675,0.523,0.415,-0.45,5.081,-0.044,0.331,0.001,535.448,336.52,,,,,,
101751.588,302.236,1.173,0,-0.154,-0.32,-1.837,-1.003,1.499,1.359,0.433,-1.349,-1.815,-1.926,0.112,0.313,1.585,-2.124,2.932,-0.209,0.208,0,5.05,-0.025,0.341,0,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.391,-0.32,-1.837,-1.337,1.07,1.882,0,-1.764,-1.175,-1.926,0.336,0,1.902,-1.805,2.199,0.942,0.208,0.226,5.071,-0.044,0.331,0.001,535.448,336.52,,,,,,
101739.494,302.241,1.173,0,-0.549,0,-1.945,-1.783,0.642,1.882,-0.216,-1.868,-2.029,-2.461,-0.67,0.209,1.479,-2.549,2.094,1.047,-0.518,-0.45,7.038,-0.025,0.453,0,535.448,336.52,,,,,,
101739.494,302.242,1.173,0,-0.47,0,-2.054,-1.895,1.177,1.359,0.757,-2.595,-1.068,-1.819,-1.116,-0.313,1.69,-2.23,2.094,0.419,0.208,-1.126,7.028,-0.063,0.443,0.001,535.448,336.52,,,,,,
101743.525,302.241,1.173,0,-0.233,-0.32,-2.054,-1.115,0.428,1.255,0.324,-2.283,-1.815,-2.14,0.112,-0.104,2.219,-2.443,2.722,0.419,0.312,-0.113,7.028,-0.025,0.453,0.001,535.448,336.52,,,,,,
101743.525,302.241,1.173,0,-0.154,-0.16,-2.378,-0.557,1.177,1.046,0.108,-1.453,-1.708,-2.247,-0.781,0.418,1.268,-2.124,2.303,0.523,0,-0.788,7.028,-0.063,0.443,0.001,535.448,336.52,,,,,,
101747.557,302.241,1.173,0,-0.233,-0.16,-1.513,-1.783,1.07,1.777,0.108,-1.557,-1.495,-1.712,-0.781,-0.208,2.113,-3.08,2.408,0.837,0.415,-0.225,7.028,-0.063,0.473,0.001,535.448,336.52,,,,,,
101743.525,302.246,1.173,0,-0.312,0.48,-2.27,-0.669,0.428,1.987,0.973,-1.972,-1.281,-1.391,0.336,-0.208,1.902,-2.018,1.885,0.209,0,-0.563,7.049,-0.063,0.443,0.001,535.448,336.52,,,,,,
101759.651,302.242,1.173,0,-0.233,0,-2.486,-0.78,0.963,0.836,0.433,-1.557,-1.708,-1.712,0,0.731,1.902,-1.912,2.513,0,0.519,0.338,7.059,-0.063,0.443,0,535.448,336.52,,,,,,
101759.651,302.246,1.173,0,-0.233,0,-1.945,-1.56,1.392,1.987,0.649,-1.764,-1.068,-2.461,-0.223,0.626,2.113,-2.655,2.094,0.837,-0.207,0,7.049,-0.063,0.432,0.001,535.448,336.52,,,,,,
101763.683,302.244,1.173,0,-0.075,0.16,-2.162,-1.115,1.392,2.3,0.757,-2.076,-1.495,-1.819,-0.558,-0.208,1.902,-2.23,2.513,0.942,0.415,-1.013,7.049,-0.063,0.453,0,535.448,336.52,,,,,,
101763.683,302.244,1.173,0,-0.312,0,-2.378,-1.337,0.535,1.777,1.081,-1.038,-1.388,-2.033,0.224,-0.729,2.113,-1.912,2.722,0.523,-0.207,0.226,7.059,-0.044,0.443,0.001,535.448,336.52,,,,,,
101747.557,302.241,1.173,0,-0.233,-0.16,-2.702,-1.56,1.07,1.255,0,-1.038,-1.281,-1.712,0,0.313,1.479,-2.549,2.513,0.628,-0.207,-0.338,7.049,-0.083,0.453,0.001,535.448,336.52,,,,,,
101743.525,302.241,1.173,0,-0.391,-0.16,-1.729,-1.895,1.177,1.777,-0.648,-1.349,-1.281,-1.498,-0.67,-0.104,2.536,-2.867,2.408,1.047,0.623,-0.113,7.028,-0.044,0.453,0.001,535.448,336.52,,,,,,
101747.557,302.239,1.173,0,-0.233,-0.16,-1.513,-0.557,0.642,1.673,0.324,-2.387,-1.495,-1.712,-0.558,-0.938,1.585,-2.124,1.466,1.047,0.831,-0.225,7.038,-0.083,0.463,0,535.448,336.52,,,,,,
101759.651,302.242,1.173,0,-0.233,0.16,-2.27,-1.226,0.749,1.15,0.433,-1.557,-1.922,-1.605,-0.223,0,1.373,-2.974,2.408,-0.209,0.415,-0.113,7.038,-0.063,0.453,0.001,535.448,336.52,,,,,,
101747.557,302.241,1.173,0,-0.075,-0.32,-2.162,-1.783,0.749,1.777,-0.432,-1.764,-1.068,-2.247,-0.223,-0.208,1.796,-2.443,1.885,0.733,-0.726,-0.901,7.059,-0.063,0.453,0.001,535.448,336.52,,,,,,
101755.62,302.241,1.173,0,-0.233,-0.16,-2.81,-2.006,0.321,1.15,0.108,-2.491,-1.815,-1.498,-0.558,-0.417,2.747,-2.336,2.303,0.733,0.727,-1.801,7.038,-0.063,0.453,0,535.448,336.52,,,,,,
101759.651,302.242,1.173,0,-0.154,0,-2.486,-1.003,0.321,0.941,0.324,-1.557,-2.242,-2.14,-0.335,-1.042,2.324,-2.124,2.617,0.628,0.104,-0.563,7.08,-0.083,0.443,0.001,535.448,336.52,,,,,,
101771.745,302.239,1.173,0.082,0.004,0,-2.27,-1.003,0.856,1.673,0.216,-1.453,-1.388,-1.926,-0.67,-0.208,1.479,-2.655,2.513,0.314,0.311,-0.225,7.08,-0.044,0.443,0.001,535.448,336.52,,,,,,
101759.651,302.241,1.173,0.082,0.004,-0.16,-1.513,-2.229,0.642,2.091,0.433,-1.245,-1.388,-1.498,-0.447,-0.417,2.43,-2.443,2.513,0.419,0.104,-0.45,7.07,-0.063,0.483,0.001,535.448,336.52,,,,,,
101767.714,302.241,1.173,0,-0.075,0,-2.054,-1.226,0.214,2.196,0.973,-2.076,-1.281,-1.819,0.224,-0.208,1.69,-1.805,2.199,0.523,0.208,-0.45,7.08,-0.025,0.443,0,535.448,336.52,,,,,,
101767.714,302.249,1.173,0.376,0.083,-0.16,-2.27,-1.449,1.606,1.568,1.19,-1.764,-1.281,-1.712,-0.893,-0.104,1.902,-2.655,2.303,0.837,0.623,-1.238,9.058,-0.044,0.575,0,535.448,336.52,,,,,,
101755.62,302.247,1.173,0.376,0.083,0.16,-2.27,-0.557,0.535,1.359,0.649,-1.245,-1.388,-1.498,0.224,-0.938,2.007,-2.018,2.408,0.419,0.208,-0.45,9.038,-0.025,0.575,0.001,535.448,336.52,,,,,,
101767.714,302.25,1.173,0.825,0.399,-0.32,-2.486,-1.226,1.284,1.15,0.865,-1.764,-1.281,-2.461,-0.335,0,1.162,-2.336,2.408,0.209,0.623,-0.563,9.048,-0.044,0.585,0.001,535.448,336.52,,,,,,
101763.683,302.252,1.173,0.376,0.083,-0.32,-2.054,-2.229,0.856,1.673,-0.216,-1.972,-1.495,-1.926,-0.558,0,2.219,-2.761,2.617,0.942,0,-0.338,9.048,-0.063,0.585,0.001,535.448,336.52,,,,,,
101759.651,302.249,1.173,0.526,0.162,-0.32,-2.27,-0.669,0.856,1.255,0.541,-2.595,-1.068,-1.391,-0.223,-0.208,1.796,-2.018,1.675,0.733,0.208,-1.351,9.038,-0.044,0.585,0.001,535.448,336.52,,,,,,
101759.651,302.25,1.173,0.376,0.083,-0.48,-2.27,-1.449,1.177,1.359,-0.108,-1.349,-2.136,-2.033,-0.223,0,1.162,-2.018,2.932,0.314,0.208,0.113,9.038,-0.083,0.564,0.001,535.448,336.52,,,,,,
101755.62,302.246,1.173,0.526,0.162,-0.32,-3.026,-1.337,0.963,1.987,0.324,-0.934,-0.961,-2.14,-0.223,0,1.479,-1.805,2.094,0.419,0.415,-0.45,9.027,-0.083,0.575,0.002,535.448,336.52,,,,,,
101747.557,302.246,1.173,0.376,0.083,-0.32,-2.486,-1.783,0.642,1.359,0.216,-1.972,-2.029,-1.391,-1.674,-0.521,2.43,-2.655,1.885,1.151,0.727,-0.788,9.038,-0.044,0.564,0.001,535.448,336.52,,,,,,
101755.62,302.246,1.173,0,-0.154,0,-2.486,-0.892,0.428,1.777,0.433,-1.661,-1.602,-1.605,0.447,-1.146,1.585,-2.443,2.303,0.628,0.519,0,9.027,-0.063,0.575,0.001,535.448,336.52,,,,,,
101755.62,302.246,1.173,0,-0.154,-0.16,-2.918,-1.56,0.856,0.523,0,-1.245,-1.602,-2.033,0,0.626,1.373,-2.549,2.617,0.419,0.623,-0.45,9.017,-0.044,0.554,0.001,535.448,336.52,,,,,,
101751.588,302.247,1.173,0,-0.233,-0.16,-1.729,-1.449,0.963,1.568,-0.54,-1.142,-1.708,-2.247,0,-0.104,2.113,-2.867,1.675,0.628,0.104,-0.563,9.006,-0.063,0.585,0.001,535.448,336.52,,,,,,
101767.714,302.246,1.173,0.082,0.004,0,-2.486,-1.115,0.642,2.091,0.324,-2.595,-1.708,-1.712,-0.447,-0.208,1.902,-1.805,2.513,0.733,0.208,-1.013,9.048,-0.044,0.575,0.002,535.448,336.52,,,,,,
101751.588,302.249,1.173,0.082,0.004,0.16,-1.513,-1.226,1.07,1.359,0.649,-1.453,-1.922,-1.712,0.112,-0.417,1.796,-2.336,2.513,0.209,0.623,-0.113,9.048,-0.025,0.575,0.001,535.448,336.52,,,,,,
101755.62,302.249,1.173,0.082,0.004,-0.16,-2.594,-1.226,0.856,1.464,0.973,-1.453,-0.961,-2.14,0,0.209,1.479,-2.336,2.513,1.151,0.311,-0.113,9.048,-0.044,0.564,0.001,535.448,336.52,,,,,,
101755.62,302.246,1.173,0.082,0.004,-0.16,-1.513,-2.006,1.392,2.091,1.298,-1.245,-0.747,-1.07,-0.67,-0.208,2.219,-2.443,3.141,1.36,0.727,0.338,9.058,-0.044,0.595,0,535.448,336.52,,,,,,
