%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],,,,,,
101755.62,302.236,1.173,0.376,0.083,-0.16,-1.729,-1.115,1.07,1.568,-0.324,-1.661,-1.175,-2.247,-0.335,0.209,2.324,-2.655,2.303,1.151,-0.104,0,-4.987,-0.083,-0.36,0.002,535.448,336.52,,,,,,
101759.651,302.234,1.173,0.526,0.162,-0.32,-1.945,-1.895,1.392,1.987,0.973,-1.764,-1.388,-1.819,-0.893,0.209,1.902,-2.018,2.513,0.733,0.415,-0.788,-5.008,-0.063,-0.36,0.001,535.448,336.52,,,,,,
101751.588,302.233,1.173,0.526,0.162,-0.32,-2.054,-1.003,0.856,1.882,0.216,-0.727,-1.708,-2.14,0.112,-0.417,2.007,-2.23,2.827,0.523,-0.415,0,-5.019,-0.063,-0.37,0.002,535.448,336.52,,,,,,
101759.651,302.231,1.173,0,-0.075,-0.32,-2.486,-1.337,1.177,1.777,0.757,-1.764,-1.281,-1.712,0,0.626,1.373,-2.124,2.199,1.256,0.623,-0.338,-4.998,-0.044,-0.36,0,535.448,336.52,,,,,,
101743.525,302.233,1.173,0.526,0.162,0,-1.837,-1.895,0.856,1.882,0,-1.142,-1.175,-1.391,-0.446,0.104,2.007,-2.761,2.827,1.151,0.415,-0.563,-4.977,-0.025,-0.339,0.001,535.448,336.52,,,,,,
101747.557,302.238,1.173,0.082,0.004,0,-1.837,-1.003,0.428,1.568,0.324,-2.076,-1.495,-1.819,0,-0.104,2.007,-2.336,1.78,0.314,-0.207,0.226,-4.977,-0.063,-0.339,0.001,535.448,336.52,,,,,,
101751.588,302.239,1.173,0.376,0.083,-0.16,-2.486,-1.003,1.177,1.464,0.216,-1.972,-1.175,-1.07,-0.112,0,1.69,-2.124,2.722,-0.313,0.312,-0.113,-4.998,-0.083,-0.349,0.001,535.448,336.52,,,,,,
101759.651,302.231,1.173,0.526,0.162,-0.16,-2.162,-2.006,1.177,1.987,-0.324,-1.661,-1.175,-2.247,-0.223,-0.104,1.902,-2.549,1.989,0.523,-0.311,-0.338,-4.946,-0.063,-0.36,0.001,535.448,336.52,,,,,,
101751.588,302.241,1.173,0.526,0.162,0,-1.837,-1.783,1.07,1.777,0.757,-1.661,-1.175,-1.605,0,-0.313,2.007,-2.336,2.617,0.942,0.623,-0.675,-4.987,-0.063,-0.37,0.002,535.448,336.52,,,,,,
101755.62,302.234,1.173,0.082,0.004,0,-1.837,-1.337,0.963,1.673,0.649,-1.557,-2.136,-1.712,-0.558,-0.938,1.796,-2.443,2.303,0.314,-0.415,0,-4.956,-0.083,-0.36,0.001,535.448,336.52,,,,,,
