%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101892.689,303.549,1.169,0.658,0.253,-0.184,-2.270,-0.780,1.606,2.196,0.757,-1.349,-0.534,-2.247,0.000,0.000,1.796,-1.912,2.827,1.256,0.415,0.113,-6.964,0.310,-0.446,0.003,535.448,336.520
101888.658,303.545,1.169,0.545,0.174,-0.184,-1.945,-2.341,1.606,1.987,0.649,-0.830,-0.961,-1.391,0.336,0.835,2.746,-2.018,2.723,1.256,1.038,0.113,-6.974,0.291,-0.487,0.002,535.448,336.520
101892.689,303.547,1.169,0.403,0.095,-0.024,-2.054,-0.557,0.535,2.300,0.433,-1.661,-0.961,-1.177,0.224,-0.625,2.324,-1.487,2.304,1.256,0.934,0.000,-6.974,0.330,-0.477,0.002,535.448,336.520
101892.689,303.547,1.169,0.545,0.174,-0.024,-2.162,-1.003,2.248,1.777,1.298,-0.934,-0.854,-1.070,0.559,0.835,2.641,-1.381,3.141,0.628,1.142,0.226,-6.954,0.272,-0.477,0.003,535.448,336.520
101888.658,303.550,1.169,0.753,0.332,-0.024,-1.297,-1.115,0.963,2.405,-0.000,-1.245,-0.641,-1.605,0.336,0.313,2.852,-2.230,2.932,1.256,0.208,0.113,-6.964,0.272,-0.477,0.003,535.448,336.520
101892.689,303.550,1.169,0.658,0.253,-0.024,-1.621,-0.780,1.713,2.405,1.406,-1.557,-0.747,-1.605,-0.112,0.209,2.535,-1.168,2.827,2.093,1.142,0.338,-6.933,0.310,-0.487,0.003,535.448,336.520
101892.689,303.550,1.169,0.545,0.174,-0.024,-1.513,-0.111,1.927,2.509,1.081,-0.727,-1.175,-1.177,0.671,0.209,2.324,-1.487,3.456,0.837,0.934,0.564,-6.943,0.310,-0.487,0.003,535.448,336.520
101888.658,303.552,1.169,0.164,0.016,-0.024,-2.810,-0.780,1.820,2.196,0.865,-0.934,-0.747,-2.033,0.559,1.044,2.641,-1.699,2.932,1.779,0.934,0.451,-6.933,0.291,-0.467,0.002,535.448,336.520
101888.658,303.558,1.169,0.545,0.174,-0.024,-1.081,-1.560,1.177,1.882,0.865,-1.038,-0.854,-1.177,-0.112,0.209,2.746,-1.699,2.827,1.465,1.038,0.226,-6.943,0.310,-0.477,0.002,535.448,336.520
101888.658,303.552,1.169,0.545,0.174,-0.024,-1.945,-0.223,1.070,2.405,0.973,-1.245,-0.854,-1.070,0.783,-0.313,2.429,-1.805,2.408,1.570,1.661,0.000,-6.954,0.310,-0.487,0.002,535.448,336.520
