%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101941.067,302.244,1.175,0.000,-0.154,-0.232,-2.378,-1.003,1.177,1.255,0.541,-1.557,-0.961,-1.819,-0.223,0.209,2.007,-2.018,2.932,-0.209,0.519,-0.000,-7.097,-0.012,-0.495,0.002,535.448,336.520
101957.192,302.246,1.175,0.082,0.004,-0.072,-1.945,-1.672,1.177,1.987,-0.756,-1.349,-1.388,-1.498,-0.670,-0.208,2.324,-2.761,2.303,0.942,-0.415,-0.225,-7.097,-0.031,-0.485,0.002,535.448,336.520
101961.224,302.247,1.175,0.376,0.083,-0.232,-2.162,-1.449,0.856,1.568,0.216,-2.180,-1.175,-1.498,0.224,-0.000,2.113,-1.593,2.094,0.628,0.415,-1.238,-7.066,-0.051,-0.465,0.003,535.448,336.520
101945.098,302.244,1.175,0.000,-0.154,-0.232,-2.486,-1.449,0.749,1.359,0.324,-1.245,-2.029,-1.926,-0.000,-0.938,1.373,-1.699,2.513,0.105,0.623,0.226,-7.066,-0.031,-0.475,0.002,535.448,336.520
101957.192,302.247,1.175,0.376,0.083,-0.392,-2.594,-1.672,1.499,1.987,0.973,-1.453,-0.641,-2.461,-0.000,0.313,2.113,-2.443,2.722,0.523,0.727,0.226,-7.066,-0.012,-0.465,0.002,535.448,336.520
101945.098,302.244,1.175,0.082,0.004,-0.552,-1.837,-2.341,0.749,2.300,0.541,-1.661,-1.068,-1.070,-0.670,-0.000,2.007,-2.761,2.513,0.628,0.727,-0.450,-7.097,-0.031,-0.465,0.002,535.448,336.520
101949.130,302.244,1.175,0.000,-0.154,-0.232,-1.945,-1.003,0.642,1.150,0.649,-1.868,-0.961,-1.391,0.224,-1.250,2.324,-2.124,2.199,0.733,0.519,0.113,-7.087,-0.012,-0.475,0.003,535.448,336.520
101945.098,302.244,1.175,0.000,-0.075,-0.232,-2.162,-1.560,1.499,1.046,1.298,-1.349,-1.068,-2.247,-0.223,0.418,1.373,-1.487,2.932,0.942,0.415,-0.000,-7.108,-0.012,-0.445,0.004,535.448,336.520
101949.130,302.242,1.175,0.000,-0.233,-0.392,-2.162,-1.115,1.177,1.882,-0.324,-1.245,-0.747,-1.712,0.000,0.313,1.902,-2.443,2.513,1.047,0.415,-0.000,-7.087,-0.031,-0.475,0.002,535.448,336.520
101957.192,302.246,1.175,0.000,-0.233,-0.232,-2.054,-1.003,0.428,2.196,0.541,-2.283,-1.495,-1.391,-0.112,0.104,2.113,-2.230,2.408,1.151,0.415,-0.338,-7.087,-0.012,-0.485,0.002,535.448,336.520
