%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101445.197,302.483,1.168,0.668,0.261,-0.600,-2.378,-1.337,1.285,1.046,-0.324,-1.764,-2.029,-2.247,-0.558,-0.729,1.901,-2.761,1.675,-0.209,-0.207,-0.563,-7.980,-0.013,-0.305,0.001,535.448,336.520
101441.166,302.483,1.168,0.558,0.182,-0.440,-2.810,-1.783,0.749,1.673,0.216,-1.868,-1.175,-2.247,-0.781,-0.000,1.584,-2.548,1.885,0.314,-0.415,-0.675,-7.990,0.006,-0.326,0.001,535.448,336.520
101441.166,302.479,1.168,0.000,-0.134,-0.440,-2.486,-2.229,0.642,1.568,0.541,-1.972,-1.815,-1.177,-1.228,0.104,1.796,-2.655,2.408,0.419,0.311,-0.788,-7.959,-0.013,-0.315,0.000,535.448,336.520
101441.166,302.479,1.168,0.000,-0.055,-0.440,-2.162,-1.003,0.214,1.568,0.000,-1.453,-1.175,-2.247,0.000,-1.250,2.218,-2.442,1.256,0.419,0.415,-0.675,-7.980,0.006,-0.315,0.000,535.448,336.520
101437.135,302.484,1.168,0.419,0.103,-0.440,-2.378,-1.560,1.177,0.627,0.757,-1.557,-1.495,-2.033,-0.558,0.104,1.056,-2.973,2.199,0.209,0.104,-0.225,-7.948,0.006,-0.315,0.002,535.448,336.520
101449.229,302.484,1.168,0.668,0.261,-0.280,-2.162,-1.672,0.535,1.568,-0.648,-1.764,-1.602,-1.605,-0.335,-0.625,1.901,-3.186,2.303,0.314,-0.207,-0.338,-7.969,0.026,-0.305,0.002,535.448,336.520
101437.135,302.491,1.168,0.847,0.419,-0.280,-2.378,-1.449,0.642,1.464,0.865,-2.491,-1.281,-1.498,-0.446,-0.729,1.690,-2.018,1.361,0.314,0.000,-0.900,-7.959,-0.032,-0.285,0.001,535.448,336.520
101441.166,302.489,1.168,0.558,0.182,-0.120,-2.054,-1.226,1.070,0.941,0.216,-1.349,-1.602,-1.712,0.224,-0.000,1.796,-3.292,2.408,-0.209,0.104,-0.450,-7.959,0.006,-0.315,0.001,535.448,336.520
101445.197,302.484,1.168,0.558,0.182,-0.440,-2.702,-1.895,0.963,1.568,0.216,-1.557,-1.175,-2.033,-0.893,-0.104,1.479,-2.548,2.094,0.419,-0.518,-0.563,-7.948,0.026,-0.305,0.001,535.448,336.520
101433.103,302.486,1.168,0.923,0.498,-0.600,-2.162,-1.895,0.749,1.464,0.757,-1.972,-1.281,-1.284,-0.558,-0.208,1.901,-2.761,1.885,0.628,0.519,-1.351,-7.959,0.006,-0.315,0.001,535.448,336.520
101433.103,302.483,1.168,0.668,0.261,-0.440,-2.162,-0.892,0.428,1.882,0.973,-1.453,-1.602,-2.033,-0.335,-0.625,1.901,-2.867,2.618,0.209,0.104,-0.113,-7.969,-0.013,-0.295,0.001,535.448,336.520
101437.135,302.484,1.168,0.419,0.103,-0.600,-3.026,-1.337,0.856,1.046,0.433,-1.141,-1.388,-2.675,-0.558,-0.104,1.373,-2.973,1.885,0.419,0.208,-0.450,-7.959,-0.051,-0.315,0.002,535.448,336.520
101437.135,302.484,1.168,0.201,0.024,-0.280,-1.513,-2.118,0.535,1.464,-0.000,-1.868,-1.815,-1.712,-0.446,-0.313,2.113,-2.973,2.199,0.419,0.208,-1.013,-7.969,-0.013,-0.326,0.001,535.448,336.520
101433.103,302.479,1.168,0.201,0.024,-0.280,-2.810,-1.003,0.321,1.568,0.108,-2.075,-1.068,-1.284,0.112,-0.834,2.113,-2.442,1.675,0.628,0.519,-0.788,-7.959,0.006,-0.305,0.000,535.448,336.520
101437.135,302.484,1.168,0.558,0.182,-0.600,-2.162,-1.560,0.535,0.523,0.433,-1.660,-1.281,-1.712,0.336,0.104,1.796,-2.230,2.303,0.105,0.415,-0.338,-7.959,-0.013,-0.315,0.001,535.448,336.520
101437.135,302.488,1.168,0.419,0.103,-0.280,-1.837,-1.560,1.177,1.882,0.324,-1.764,-1.281,-1.926,-0.558,-0.313,1.690,-2.867,1.675,0.314,-0.622,-0.675,-7.990,-0.013,-0.295,0.002,535.448,336.520
101429.072,302.489,1.168,0.201,0.024,-0.440,-1.837,-1.337,0.321,1.359,0.649,-2.283,-1.922,-2.033,-0.670,-0.625,2.007,-2.230,1.989,0.105,0.000,-1.351,-7.980,-0.013,-0.315,0.001,535.448,336.520
