%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101376.663,302.034,1.169,0.000,-0.300,0.016,-2.702,-1.672,0.749,1.568,0.649,-2.179,-2.242,-1.498,-1.228,-0.313,1.796,-2.761,2.304,0.419,0.104,-1.801,-7.915,-0.031,-0.271,0.002,535.448,336.520
101380.694,302.041,1.169,0.658,0.253,0.336,-3.026,-1.226,0.321,1.359,0.757,-1.764,-1.922,-1.819,0.112,-0.938,1.479,-2.867,2.199,0.523,-0.207,-0.338,-7.946,-0.011,-0.291,0.001,535.448,336.520
101376.663,302.038,1.169,0.838,0.411,0.176,-3.350,-1.337,1.070,0.941,0.216,-1.764,-1.388,-2.033,-0.447,-0.208,1.056,-2.867,1.885,-0.522,-0.311,-0.563,-7.946,-0.011,-0.281,0.000,535.448,336.520
101376.663,302.034,1.169,0.545,0.174,0.176,-1.729,-2.006,0.963,1.568,-0.216,-1.868,-1.281,-1.070,-0.112,0.209,1.796,-3.292,2.199,0.733,0.000,-0.563,-7.926,-0.031,-0.281,0.001,535.448,336.520
101384.726,302.036,1.169,0.000,-0.063,0.336,-2.486,-0.669,0.428,1.673,0.649,-2.802,-1.708,-2.247,0.112,-0.833,1.373,-2.548,1.361,0.419,0.208,-1.013,-7.946,0.008,-0.291,0.002,535.448,336.520
101376.663,302.036,1.169,0.403,0.095,0.336,-2.486,-1.449,1.070,1.150,0.324,-1.764,-2.029,-1.712,-0.223,-0.417,1.584,-2.655,2.409,-0.104,0.311,-0.675,-7.957,-0.011,-0.291,0.000,535.448,336.520
101372.631,302.036,1.169,0.000,-0.063,0.016,-2.269,-1.449,1.070,1.777,-0.324,-1.557,-1.281,-1.926,-0.335,-0.104,2.007,-2.973,1.780,0.837,-0.622,-0.563,-7.946,-0.011,-0.281,0.000,535.448,336.520
101372.631,302.034,1.169,0.164,0.016,0.016,-2.594,-1.783,0.642,1.359,0.216,-1.868,-1.922,-1.819,-0.893,-0.417,1.479,-2.761,2.199,0.419,0.519,-1.914,-7.946,0.008,-0.301,0.002,535.448,336.520
101372.631,302.034,1.169,0.164,0.016,0.176,-1.945,-1.115,1.070,1.777,0.541,-1.661,-1.922,-1.819,0.335,-1.042,1.796,-2.548,2.094,0.314,-0.207,-0.225,-7.967,-0.011,-0.301,0.002,535.448,336.520
101380.694,302.036,1.169,0.164,0.016,0.176,-3.134,-1.672,0.963,1.568,0.216,-1.557,-1.388,-2.675,-0.558,-0.104,1.268,-2.442,2.094,0.209,-0.207,-0.675,-7.957,-0.031,-0.301,0.001,535.448,336.520
101392.788,302.036,1.169,0.545,0.174,0.336,-1.837,-2.786,0.856,1.673,0.108,-2.076,-1.388,-1.605,-0.223,-0.313,2.007,-3.504,2.094,0.628,0.104,-1.013,-7.957,-0.031,-0.301,0.002,535.448,336.520
101392.788,302.034,1.169,0.753,0.332,0.176,-1.945,-0.892,0.214,1.568,0.108,-2.283,-1.602,-1.498,-0.000,-0.625,1.585,-2.230,1.047,0.105,0.104,-0.563,-7.957,0.008,-0.291,-0.000,535.448,336.520
101396.820,302.039,1.170,0.658,0.253,0.176,-2.053,-1.337,1.177,1.254,0.433,-1.764,-1.281,-2.140,-0.335,-0.104,1.585,-2.867,2.199,-0.209,0.000,-0.113,-7.926,-0.011,-0.291,0.001,535.448,336.520
101396.820,302.036,1.170,0.658,0.253,0.176,-2.269,-1.672,1.177,1.777,-0.000,-1.868,-1.068,-2.354,-0.335,-0.313,1.796,-2.867,2.513,0.733,-0.622,-0.338,-7.946,-0.011,-0.271,0.002,535.448,336.520
101384.726,302.034,1.169,0.753,0.332,0.496,-2.161,-1.337,0.749,1.359,0.541,-2.283,-1.602,-1.926,-1.451,-0.625,2.113,-2.548,1.675,0.105,-0.207,-1.576,-7.946,0.027,-0.281,0.001,535.448,336.520
101380.694,302.034,1.169,0.403,0.095,0.336,-2.053,-1.226,0.428,1.568,0.541,-1.557,-1.922,-2.033,-0.112,-1.042,1.796,-2.124,2.094,-0.313,0.104,-0.225,-7.926,0.008,-0.281,0.001,535.448,336.520
101380.694,302.039,1.169,0.403,0.095,0.016,-2.594,-1.226,1.284,1.568,0.541,-1.142,-1.281,-2.247,-0.335,-0.208,1.162,-2.230,1.780,0.209,-0.207,-1.238,-7.978,-0.011,-0.291,0.002,535.448,336.520
101372.631,302.034,1.169,0.545,0.174,0.016,-2.270,-2.118,0.535,1.150,0.108,-1.349,-1.708,-1.605,-1.005,-0.521,1.796,-3.292,2.408,-0.104,0.000,-1.126,-7.988,-0.011,-0.291,0.001,535.448,336.520
101368.600,302.036,1.169,0.545,0.174,0.176,-2.378,-1.560,0.214,1.882,0.541,-2.180,-1.708,-1.712,0.112,-1.042,1.057,-2.867,0.942,0.628,-0.207,-0.788,-7.946,0.008,-0.301,0.001,535.448,336.520
101372.631,302.039,1.169,0.658,0.253,0.176,-2.810,-1.449,1.070,1.150,0.108,-1.661,-2.456,-1.926,-0.112,-0.208,1.373,-2.867,2.199,-0.731,-0.104,-0.450,-7.946,0.027,-0.281,0.001,535.448,336.520
101384.726,302.039,1.169,0.000,-0.221,-0.304,-2.594,-1.226,0.214,1.464,0.324,-1.764,-1.815,-1.605,-0.558,-1.042,1.479,-2.548,1.361,0.733,0.104,-1.013,-6.103,0.123,-0.251,0.003,535.448,336.520
101380.694,302.046,1.169,0.164,0.016,-0.144,-1.945,-1.226,1.070,1.045,0.108,-1.453,-2.242,-1.712,0.224,-0.208,1.584,-2.548,2.304,-0.627,0.415,0.000,-6.114,0.104,-0.271,0.003,535.448,336.520
101380.694,302.041,1.169,0.000,-0.142,-0.304,-2.486,-1.560,0.642,1.568,-0.000,-1.868,-1.602,-2.675,-0.447,-0.000,1.901,-3.079,1.466,0.419,-0.622,-0.901,-6.051,0.085,-0.261,0.003,535.448,336.520
101384.726,302.038,1.169,0.000,-0.063,0.176,-2.053,-2.006,0.321,1.464,0.649,-2.283,-1.602,-1.605,-0.893,-0.521,1.479,-2.761,1.990,0.000,0.727,-1.576,-6.072,0.104,-0.261,0.002,535.448,336.520
101388.757,302.041,1.169,0.000,-0.063,0.176,-2.269,-1.003,0.642,1.568,0.541,-1.349,-1.815,-1.498,0.559,-1.146,2.007,-2.336,1.885,0.000,-0.207,-0.563,-6.114,0.085,-0.240,0.003,535.448,336.520
101388.757,302.042,1.169,0.658,0.253,0.176,-2.594,-1.226,-0.107,1.254,0.541,-2.076,-1.495,-2.354,-0.112,0.104,0.845,-2.336,1.885,0.419,-0.311,-1.126,-6.093,0.104,-0.240,0.003,535.448,336.520
