%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101050.115,302.413,1.164,0,-0.071,0.168,-2.486,-1.226,0.428,1.15,0.324,-2.698,-2.029,-2.247,-0.67,-1.042,1.162,-2.442,0.838,0.209,0.311,-1.126,-8.044,0.023,-0.48,0.002,535.448,336.52
101078.335,302.412,1.164,0,-0.071,0.168,-3.242,-1.672,0.642,0.836,0,-2.179,-2.349,-1.712,-0.781,-0.417,1.584,-2.867,1.361,-0.522,-0.311,-1.351,-8.044,0.023,-0.48,0.003,535.448,336.52
101090.429,302.412,1.165,0.117,0.008,-0.152,-3.026,-1.783,0.642,1.673,-0.216,-2.594,-1.815,-2.568,-1.005,-0.834,1.373,-2.867,1.466,0.314,-0.622,-1.126,-8.012,0.042,-0.491,0.003,535.448,336.52
101074.304,302.412,1.164,0.386,0.087,-0.152,-2.81,-2.452,0.107,1.15,-0.108,-2.698,-2.776,-2.033,-2.009,-0.521,1.69,-2.867,1.675,0.209,0.104,-1.914,-8.033,0.042,-0.48,0.002,535.448,336.52
101054.146,302.412,1.164,0.117,0.008,0.168,-2.81,-1.895,0.321,1.15,0.216,-1.764,-2.029,-2.568,-0.893,-1.563,2.218,-2.867,1.885,0.209,-0.207,-0.901,-8.054,0.023,-0.521,0.003,535.448,336.52
101062.209,302.41,1.164,0.534,0.166,0.168,-3.242,-1.895,0.856,1.045,0.433,-1.868,-2.136,-2.14,-0.893,-0.313,0.739,-2.442,1.989,-0.104,0,-0.675,-8.044,0.004,-0.48,0.003,535.448,336.52
101066.241,302.409,1.164,0.117,0.008,-0.312,-2.054,-2.563,0.642,1.254,-0.324,-2.283,-1.815,-1.819,-0.781,-0.417,1.69,-2.973,1.571,0.733,0.208,-0.338,-8.044,0.023,-0.48,0.002,535.448,336.52
101062.209,302.415,1.164,0,-0.15,-0.152,-2.81,-1.449,0.107,1.464,0.216,-2.387,-1.815,-1.605,-0.67,-0.834,0.845,-2.867,1.361,-0.104,-0.207,-1.238,-8.044,0.042,-0.491,0.004,535.448,336.52
101066.241,302.409,1.164,0,-0.071,-0.312,-3.242,-1.783,0.856,0.627,-0.216,-2.283,-2.883,-1.605,-0.781,-0.729,1.373,-2.761,1.78,-0.731,-0.518,-0.788,-8.075,-0.015,-0.491,0.003,535.448,336.52
101062.209,302.407,1.164,0.386,0.087,-0.152,-2.81,-2.118,0.535,1.359,-0.108,-1.66,-2.136,-2.461,-0.335,-0.313,2.007,-2.442,1.466,0.733,-0.829,-0.788,-8.023,0.023,-0.48,0.002,535.448,336.52
