%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101179.121,302.218,1.166,0.000,-0.119,-0.424,-2.811,-1.226,1.284,2.509,0.757,-1.453,-1.068,-2.140,-0.000,0.313,2.007,-1.912,2.723,0.942,0.727,0.113,-6.979,0.156,-0.406,0.002,535.448,336.520
101175.090,302.221,1.166,0.000,-0.277,-0.424,-2.162,-2.229,0.856,1.673,0.108,-1.557,-1.388,-1.177,-0.781,0.209,2.535,-2.124,2.304,1.047,0.934,-0.563,-6.958,0.156,-0.416,0.001,535.448,336.520
101171.058,302.220,1.166,0.000,-0.198,-0.424,-1.946,-1.226,0.107,1.987,0.865,-1.972,-1.068,-0.963,0.335,-0.625,2.113,-1.699,2.094,0.523,0.415,-0.450,-6.947,0.156,-0.386,0.002,535.448,336.520
101183.153,302.218,1.166,0.000,-0.119,-0.264,-2.054,-1.337,1.284,0.941,0.216,-1.660,-1.708,-0.856,-0.112,0.209,1.902,-2.018,2.827,0.523,0.311,0.226,-6.979,0.175,-0.416,0.001,535.448,336.520
101179.121,302.220,1.166,0.000,-0.198,-0.104,-2.270,-1.449,0.856,1.987,-0.324,-1.660,-1.602,-1.819,-0.000,-0.313,3.169,-2.018,1.990,1.465,0.519,-0.113,-6.958,0.137,-0.406,0.002,535.448,336.520
101187.184,302.218,1.166,0.000,-0.277,-0.104,-1.730,-1.337,0.963,1.464,0.541,-2.490,-1.388,-1.498,-0.670,0.313,2.324,-2.124,2.304,1.151,0.831,-1.126,-6.906,0.156,-0.416,0.002,535.448,336.520
101191.216,302.220,1.166,0.000,-0.198,-0.264,-2.486,-0.780,0.963,1.568,0.649,-1.038,-1.708,-1.712,0.224,-0.208,2.641,-1.912,2.513,0.628,0.415,-0.113,-6.927,0.137,-0.427,0.002,535.448,336.520
101191.216,302.221,1.166,0.000,-0.198,-0.264,-2.702,-1.226,1.177,1.568,0.757,-1.764,-1.495,-1.712,-0.000,0.522,1.902,-1.805,2.932,1.465,0.519,0.338,-6.927,0.137,-0.406,0.002,535.448,336.520
101183.153,302.221,1.166,0.000,-0.198,-0.424,-1.838,-2.006,0.963,1.882,-0.000,-1.972,-1.175,-1.498,-0.893,-0.417,2.747,-2.124,2.304,1.256,0.727,-0.338,-6.937,0.156,-0.416,0.002,535.448,336.520
101191.216,302.226,1.166,0.000,-0.198,-0.104,-2.594,-0.780,0.321,1.882,0.324,-2.179,-0.961,-1.070,0.336,-0.313,1.690,-1.593,1.990,1.256,0.311,-0.338,-6.947,0.175,-0.437,0.002,535.448,336.520
101175.090,302.218,1.166,0.000,-0.198,-0.104,-2.594,-0.892,1.284,1.150,0.324,-1.868,-1.708,-1.498,0.671,-0.000,2.641,-2.018,2.723,0.628,0.727,0.226,-6.927,0.137,-0.406,0.003,535.448,336.520
101179.121,302.221,1.166,0.000,-0.356,-0.584,-2.486,-0.892,1.177,1.777,0.108,-1.660,-1.388,-1.819,-0.112,0.313,2.218,-2.018,2.094,0.523,0.104,-0.338,-6.927,0.175,-0.406,0.003,535.448,336.520
101179.121,302.218,1.166,0.000,-0.435,-0.264,-2.270,-1.226,0.749,1.568,0.649,-1.764,-1.495,-1.177,-0.670,-0.208,2.746,-2.230,2.723,1.465,1.038,-0.901,-6.947,0.137,-0.416,0.003,535.448,336.520
101179.121,302.217,1.166,0.000,-0.277,-0.424,-2.162,-1.672,0.749,1.464,0.649,-1.764,-1.068,-1.605,-0.112,-0.417,2.007,-1.699,2.513,0.942,0.727,0.226,-6.937,0.118,-0.396,0.002,535.448,336.520
